	z_a	z_e	a	e	a_logits	e_logits	e_in
83	[-0.17232871055603027, -0.04670243710279465, -0.12721580266952515, 0.9705641865730286, -0.30161339044570923, 0.14171259105205536, -1.2672615051269531, -0.48315468430519104]	[2.5428571701049805, -0.3621116280555725, 1.2331879138946533, 0.8732184767723083, -0.04760025814175606, 2.1375577449798584, -0.4123229384422302, 0.45915907621383667, -2.3433189392089844, 0.041922926902770996, -2.210178852081299, 1.3939025402069092, 0.7614179253578186, -1.0231586694717407, -0.7008631825447083, 0.04040265083312988]	6.0	0.0	[0.33486852049827576, -0.021242259070277214, 0.29808950424194336, 0.1151014044880867, -0.21452009677886963, 0.19834671914577484, 0.5638923645019531, -0.1511010378599167]	[1.1470927000045776, -0.3907763361930847, -0.5466527342796326, -0.7492188215255737, 0.21537864208221436, -0.20353147387504578, 0.21566832065582275, -0.5061821937561035, -0.2606350779533386, -0.30466583371162415, -0.2287599891424179]	6
84	[0.2676558494567871, -0.5237119197845459, -0.31169408559799194, 0.3901404142379761, -0.3797990679740906, -0.15112638473510742, -4.146327972412109, -0.6997966766357422]	[1.5075314044952393, -0.2913016676902771, -1.2942160367965698, -2.4048104286193848, 0.47393926978111267, 0.12247267365455627, 0.1065530776977539, -1.3079360723495483, 0.0024591386318206787, -0.5220649838447571, -0.3965449631214142, -0.36309194564819336, 1.190802812576294, 1.1326895952224731, -0.44600147008895874, 0.5040628910064697]	1.0	1.0	[0.3335445523262024, 1.9287513494491577, 1.0725975036621094, 1.7879172563552856, 1.5850298404693604, 0.7508940100669861, 1.4657199382781982, 0.6850759387016296]	[-0.7438280582427979, 2.0048646926879883, -0.3116328716278076, 0.034052178263664246, -0.09580451250076294, 0.38539496064186096, 0.5290619134902954, 1.105974555015564, 1.1901291608810425, 0.7779291272163391, 0.8146658539772034]	5
85	[-1.2531640529632568, 1.7402596473693848, 1.0204194784164429, -0.26073819398880005, -0.33775246143341064, 1.4022784233093262, 0.08881780505180359, 0.7239307761192322]	[-0.926414430141449, 2.167072296142578, -0.2648423910140991, 0.5353168845176697, 0.06947517395019531, 1.2245416641235352, -2.5528836250305176, 0.18465912342071533, -4.311150550842285, 0.39432013034820557, -2.7708358764648438, -0.8139498233795166, -1.2202374935150146, -4.539000511169434, -1.853764295578003, -0.43383467197418213]	0.0	0.0	[2.189929962158203, -0.3349921405315399, 1.3764268159866333, -1.6908977031707764, -1.2785271406173706, -0.04514693841338158, -1.1512539386749268, -0.8552392721176147]	[1.916406512260437, -0.5835936069488525, -0.5746702551841736, -0.46553152799606323, -0.7738380432128906, -0.6121102571487427, -0.4278261363506317, -0.32540053129196167, -0.5857119560241699, -0.6650426983833313, -0.6874495148658752]	0
86	[0.26141175627708435, 0.5827897787094116, 0.05600166320800781, -0.40153974294662476, 0.0806121826171875, 0.5529731512069702, 2.6233270168304443, 0.6021931171417236]	[0.42437469959259033, 1.889060139656067, 0.10167062282562256, -1.6740769147872925, -0.5132173299789429, 2.58370041847229, -0.5332978367805481, -1.3054322004318237, -3.3113105297088623, 1.310914397239685, -0.019007205963134766, 0.6444017291069031, 0.03582793474197388, -1.53602933883667, -0.8152702450752258, -0.4744908809661865]	0.0	5.0	[0.8187981843948364, -1.6753392219543457, -0.5644590854644775, -2.406744956970215, -0.917454183101654, -1.4287807941436768, -0.7418729662895203, -1.1707864999771118]	[-0.5218092203140259, 0.6258692145347595, 0.7468715310096741, -0.6866679191589355, -0.4932318925857544, 4.346014022827148, 4.123630046844482, 2.4770853519439697, 2.6754133701324463, 2.6474921703338623, 2.4998276233673096]	4
87	[-1.2584381103515625, 1.684023141860962, 0.1353946328163147, -1.6513049602508545, -0.5764404535293579, 0.19593918323516846, -0.5292609333992004, -0.5649833083152771]	[-1.0491451025009155, 3.4808273315429688, 0.06332361698150635, 0.6351033449172974, 1.0376254320144653, 1.0629183053970337, -2.1784892082214355, 0.6425461173057556, -3.181546211242676, -0.2631314694881439, -2.147160291671753, -0.003793269395828247, -2.7860732078552246, -3.640242576599121, -2.2828166484832764, 1.8627827167510986]	5.0	4.0	[0.14050796627998352, 0.440290629863739, 0.72211092710495, -0.723707377910614, -0.04876440390944481, 1.663556694984436, -1.8136874437332153, -0.9750185012817383]	[-0.7869777679443359, -0.4076724946498871, -0.39581429958343506, -0.9787291288375854, 2.595578908920288, -0.25244900584220886, -0.43472930788993835, -0.7153940796852112, -0.426691472530365, -0.46182164549827576, -0.4532579481601715]	0
88	[0.6280298829078674, -1.0847890377044678, -0.04818941652774811, 1.0041882991790771, -0.83942711353302, 0.5117409229278564, -1.9357670545578003, -0.7524238228797913]	[0.7121127247810364, -2.1970090866088867, -2.0049095153808594, 0.759597659111023, -0.5997001528739929, 1.2530843019485474, -0.9357970952987671, -0.39487215876579285, -0.12075848877429962, -0.45091933012008667, -0.6348571181297302, 0.428067684173584, 0.990588366985321, 1.289499282836914, 0.4297829568386078, 0.2908264398574829]	6.0	6.0	[0.24153289198875427, 0.19198031723499298, 0.495766282081604, 0.6893623471260071, 0.5219743847846985, -0.4640922248363495, 2.053682804107666, -0.3649846613407135]	[-0.7594956755638123, 1.265873908996582, 2.6796913146972656, -0.5617377758026123, -0.5823997855186462, 1.3624603748321533, 3.1615567207336426, 2.9011027812957764, 2.470290422439575, 2.5954229831695557, 2.664670944213867]	2
89	[-1.455203652381897, 1.8279261589050293, 0.03037157654762268, -0.7970952391624451, 0.057463712990283966, 0.19502052664756775, -0.8836204409599304, 0.9513086080551147]	[0.9433941841125488, 2.549914836883545, -0.12710100412368774, -0.39139923453330994, -0.6876426935195923, -0.3952605128288269, 0.30277466773986816, 2.368839740753174, -2.9021830558776855, -0.6982498168945312, -2.605057716369629, -1.2110059261322021, -2.7343673706054688, -2.855125665664673, -2.2925589084625244, 1.5378847122192383]	0.0	0.0	[1.5689904689788818, 0.8040826320648193, 0.9507876038551331, -1.1979588270187378, -0.16077737510204315, 0.19962894916534424, -1.8259148597717285, 0.16102224588394165]	[2.199958324432373, -0.2108212113380432, -0.3443317711353302, -0.8891476988792419, -0.6613956093788147, -0.5151885747909546, -0.5281139016151428, -0.5055758357048035, -0.6841161847114563, -0.4193950891494751, -0.2953847348690033]	0
90	[-0.4353169798851013, 0.6583424806594849, 0.2810474932193756, -0.5560290813446045, -0.939487099647522, 0.8400031924247742, 1.8892630338668823, -0.775783896446228]	[-3.13706374168396, 3.5770087242126465, 2.2686309814453125, 0.2406386435031891, 0.6065247654914856, 1.3647334575653076, -1.3923735618591309, 0.7692975997924805, -3.4075934886932373, 0.794826090335846, 0.06926548480987549, 0.07300442457199097, 0.21513724327087402, -2.224809169769287, -1.033255934715271, 0.6053239703178406]	5.0	1.0	[-0.14491815865039825, -1.6287168264389038, -0.15495195984840393, -1.7114579677581787, -1.1661555767059326, 0.20428037643432617, -0.652733325958252, -2.022709608078003]	[-0.1958354264497757, 3.6932857036590576, -0.33080804347991943, -0.811192512512207, -0.5253487825393677, 0.4206664264202118, 0.3441547751426697, 0.9654029011726379, 1.2658905982971191, 1.619260549545288, 1.3106958866119385]	1
91	[-0.4635692834854126, -1.2422853708267212, -0.0030384957790374756, -0.27225351333618164, 0.033935122191905975, 0.9122933745384216, -0.7933592796325684, -1.6475448608398438]	[1.4890644550323486, 0.3456737995147705, -0.6742615699768066, -0.25673726201057434, 0.3616146147251129, -0.9846577644348145, -0.02392614632844925, 2.138742208480835, 2.5887207984924316, -1.3516521453857422, -0.11337238550186157, 0.7408112287521362, 0.7121012806892395, 0.9324079155921936, 0.4600820243358612, -0.49305009841918945]	5.0	6.0	[-0.8029953837394714, -0.07735101133584976, -0.15563978254795074, 1.0600844621658325, -0.28733953833580017, 1.1763765811920166, 0.5675498247146606, -0.010834231041371822]	[-0.6121236085891724, 0.03146170824766159, 0.04957031458616257, -0.8262022137641907, -0.2026555985212326, 1.4784839153289795, 5.181882381439209, 2.306805372238159, 1.9874764680862427, 2.0010786056518555, 2.0345449447631836]	6
92	[0.029341131448745728, 0.47850024700164795, 0.2855422794818878, 0.4343975782394409, -0.31848663091659546, 0.5970795750617981, 0.8568506240844727, 0.45245468616485596]	[-0.6491609811782837, 1.8871861696243286, 0.6894731521606445, -1.9448022842407227, -1.972337245941162, 1.3637983798980713, -1.0434961318969727, 0.4646090567111969, -1.301383376121521, -0.4325869679450989, -2.647839069366455, 0.126914381980896, -2.139860153198242, -0.9470809698104858, 0.35884296894073486, -0.7316036224365234]	0.0	4.0	[1.1574785709381104, -1.0180659294128418, 0.16711053252220154, -1.55655837059021, -0.7622503042221069, -1.1578788757324219, -0.026342719793319702, -0.8991487622261047]	[-0.6088443398475647, -0.6400466561317444, -0.5220727920532227, -0.9407995939254761, 2.1780831813812256, -0.5249060392379761, -0.2427925020456314, -0.5768020153045654, -0.43114718794822693, -0.6862223148345947, -0.6878412961959839]	0
93	[0.3509308099746704, -1.0276566743850708, 0.02478104829788208, -0.08912476897239685, -0.1270418018102646, -0.1262514442205429, -3.7867374420166016, -1.5442614555358887]	[1.3148307800292969, -1.8358490467071533, 0.3309341073036194, -0.28376004099845886, 1.3017152547836304, -0.3776211738586426, -0.28443443775177, -1.4570403099060059, 2.00243878364563, -2.3528614044189453, 1.836564302444458, 2.5731360912323, 1.42385995388031, 1.2944883108139038, 2.433622360229492, 1.9075309038162231]	3.0	4.0	[-0.4116513729095459, 1.665981411933899, 0.7461540102958679, 2.468707799911499, 1.4459306001663208, 1.4949167966842651, 1.3408794403076172, 0.5394579768180847]	[-0.450061172246933, -0.649611234664917, -0.6105740070343018, 0.2656136453151703, 0.9558345079421997, -0.6213667392730713, -0.8284781575202942, -0.8001910448074341, -0.7979260087013245, -0.8532261252403259, -0.8358023762702942]	4
94	[0.6683319807052612, -1.1141153573989868, -0.3971728980541229, 0.24363194406032562, -1.891992211341858, 0.617771565914154, -1.1446529626846313, -0.5272144079208374]	[0.3347037136554718, -0.8256571292877197, -0.6386764049530029, -0.0864044800400734, 1.6634526252746582, 0.2551059424877167, -1.4461735486984253, 0.258951872587204, 0.3203744888305664, -2.1909213066101074, 0.9002716541290283, 1.8723108768463135, -0.24897509813308716, 1.6911633014678955, -0.1362290382385254, 1.3791656494140625]	6.0	3.0	[-0.036149658262729645, -0.021818669512867928, 0.37794432044029236, -0.2563076913356781, 0.9894887208938599, -1.4536300897598267, 2.158099889755249, -1.2355371713638306]	[-0.9368853569030762, -0.610020101070404, -0.08586891740560532, 2.270836353302002, -0.8875842690467834, -0.5339946746826172, -0.519294798374176, -0.5041696429252625, -0.6256776452064514, -0.6602383852005005, -0.3609989285469055]	0
95	[-0.968260645866394, -1.1797229051589966, -0.3474664092063904, 0.35112008452415466, 1.3107194900512695, -0.5909988880157471, 0.6851502656936646, -0.4416702389717102]	[0.7642804384231567, -1.6627018451690674, -0.7095950841903687, -1.3556530475616455, 2.2169406414031982, -3.2295637130737305, -0.6280552744865417, 1.637779951095581, 3.680471897125244, -1.4920734167099, -0.2076702117919922, -1.1405831575393677, 1.1783638000488281, 1.8484210968017578, 2.869724988937378, -2.7105226516723633]	7.0	5.0	[-0.7160194516181946, -0.6164208054542542, -1.432324767112732, 0.4784294068813324, -0.8617584705352783, -0.26587387919425964, -1.0476157665252686, 1.21990966796875]	[-0.6479804515838623, 1.0975321531295776, 1.142989158630371, -0.8163015842437744, -0.3139267563819885, 3.4079806804656982, 2.2097532749176025, 2.052327871322632, 1.7958648204803467, 2.1772453784942627, 1.8931670188903809]	1
96	[0.8836351633071899, -0.9112551808357239, -0.30193525552749634, -0.002181056886911392, -1.1270703077316284, -0.13208745419979095, 0.07900476455688477, -0.6496795415878296]	[-0.15907585620880127, -1.0188595056533813, -1.3688886165618896, -1.2658864259719849, 2.096879005432129, -0.7229752540588379, -2.1039276123046875, 0.6927422285079956, -0.6589912176132202, -2.7257256507873535, -0.3529960513114929, 2.729461431503296, 2.765197992324829, 1.3863698244094849, 0.8190668225288391, 0.5654280185699463]	6.0	0.0	[-0.5040592551231384, -0.6220170855522156, -0.39459508657455444, -0.3788650929927826, 0.6690136194229126, -1.205572247505188, 1.1809979677200317, -1.2170202732086182]	[1.8272356986999512, -0.45600512623786926, -0.2926604151725769, -0.5436983704566956, -0.7832015752792358, -0.31512972712516785, -0.36977705359458923, -0.6618202328681946, -0.44041022658348083, -0.636082649230957, -0.4799896478652954]	0
97	[0.7972884178161621, -1.5182479619979858, -0.04487621784210205, 2.132335662841797, -0.60219806432724, 0.5176754593849182, 0.00756680965423584, -1.3839224576950073]	[0.35163700580596924, -0.7470163106918335, -0.6908670663833618, 1.192625880241394, 0.44932830333709717, -1.6504464149475098, 1.0005797147750854, -0.8732619881629944, 1.3147664070129395, -1.8035305738449097, 0.864075243473053, 0.41557854413986206, 1.2375917434692383, 1.915605068206787, 2.3083913326263428, 0.40589848160743713]	6.0	3.0	[-0.5128011703491211, -1.5479395389556885, -0.529207170009613, 0.257943719625473, -0.8758662343025208, -0.4405861496925354, 2.1466307640075684, -0.8870365023612976]	[-0.24366290867328644, -0.5390781760215759, -0.6729364395141602, 1.2926961183547974, -0.4717375934123993, -0.7836383581161499, -1.081319808959961, -0.9537468552589417, -1.0391987562179565, -0.984902024269104, -0.8705582022666931]	2
98	[-0.10062217712402344, 0.4681575894355774, -0.6028506755828857, 0.1508948653936386, 0.18065842986106873, -0.04337400197982788, -2.0460824966430664, -0.7690147161483765]	[-0.1335664987564087, -0.1841706931591034, -1.9575456380844116, -0.7458931803703308, -0.372018039226532, 0.7519232630729675, -0.6478200554847717, -0.7669567465782166, -0.4982898235321045, -1.3643640279769897, -0.06353902816772461, 2.764667272567749, 0.8174078464508057, -0.03735872358083725, 0.12324637174606323, 1.8905012607574463]	5.0	3.0	[0.023816853761672974, 0.8271521925926208, 0.39461466670036316, 0.50460284948349, 0.421197772026062, 1.5771722793579102, 0.1113191470503807, 0.24565011262893677]	[-0.9749773740768433, -0.36684656143188477, -0.4260247051715851, 2.202906847000122, -0.6606711745262146, -0.4665325880050659, -0.3362495005130768, -0.5833724141120911, -0.3006105124950409, -0.45603254437446594, -0.6899945735931396]	4
99	[-0.04388706386089325, 1.449552297592163, -0.5431132316589355, -2.3311729431152344, -1.0115445852279663, 1.1740808486938477, 0.08178257942199707, -0.33900460600852966]	[1.0905166864395142, 2.0941224098205566, 2.0308403968811035, -0.48255854845046997, 0.8004778027534485, 1.8648467063903809, -0.38811609148979187, 0.9581958651542664, -2.523359537124634, 0.03875058889389038, -2.292311429977417, -0.6655853390693665, 0.5318223834037781, -1.3408935070037842, -0.7769665122032166, 0.6120949983596802]	5.0	0.0	[0.29975253343582153, 0.32810142636299133, 0.7427306175231934, -1.7189346551895142, 0.7136837840080261, 0.9968385100364685, -0.5540810227394104, -1.6449365615844727]	[2.0407373905181885, -0.3869948387145996, -0.45028921961784363, -0.5916705131530762, -1.0350133180618286, -0.7365027070045471, -0.36459505558013916, -0.5891187191009521, -0.7254165410995483, -0.7002847194671631, -0.7307115197181702]	0
100	[-2.408151388168335, 0.10151323676109314, 1.2643711566925049, 0.4471605122089386, 2.155045986175537, 0.2721913754940033, 1.0489637851715088, 1.868299961090088]	[-0.540663480758667, 2.7072181701660156, 0.8858467936515808, -1.1488641500473022, -1.4450139999389648, -0.6632459759712219, -1.3739323616027832, -1.2989047765731812, -0.7795825004577637, 1.6628968715667725, 0.6325422525405884, -2.7538938522338867, -1.7637243270874023, -1.783677577972412, -0.7128188610076904, -0.04934924840927124]	0.0	1.0	[2.3425965309143066, -0.4783225655555725, -0.16397324204444885, -0.6459251046180725, -2.1770386695861816, -1.8499103784561157, -2.6757030487060547, 2.077963352203369]	[-0.08693326264619827, 2.380557060241699, 0.5236498713493347, -0.5124353766441345, -0.5593851208686829, 0.21140925586223602, 0.6992449164390564, 0.7290554046630859, 0.8789588809013367, 0.69617760181427, 0.7108907699584961]	1
101	[0.2683458924293518, -0.8717528581619263, -0.613605260848999, -0.15064960718154907, -1.3911449909210205, 0.2792062759399414, 1.170384168624878, -0.3031010031700134]	[-0.5629884600639343, -0.5971669554710388, -0.6773794889450073, -0.7141406536102295, 0.604131281375885, -0.49746155738830566, -1.7913286685943604, 0.5207669138908386, -0.5029992461204529, -0.11105936765670776, -0.4299847185611725, 0.30572137236595154, -0.6147082448005676, -1.5356457233428955, 2.8537564277648926, 1.7847808599472046]	6.0	1.0	[-0.5150257349014282, -1.1022241115570068, -0.6713126301765442, -1.318556308746338, 0.1633986532688141, -1.8031779527664185, 0.8066049218177795, -1.3882585763931274]	[-0.5826768279075623, 1.892940878868103, -0.23420077562332153, -0.5727295875549316, 0.8880267143249512, 0.01262770313769579, -0.03300534188747406, 0.005864179227501154, 0.5120213031768799, 0.3437543511390686, 0.5016531348228455]	1
102	[-0.41255292296409607, -0.3938533365726471, -0.7532498836517334, 0.9635408520698547, 1.174802541732788, 0.6699844598770142, 0.7281249761581421, 0.45828163623809814]	[-0.8936363458633423, 0.7212828397750854, -1.754970908164978, 1.0922309160232544, 2.207009792327881, -1.4380249977111816, 1.4166760444641113, 1.5203962326049805, 1.0219718217849731, -0.4310394525527954, 0.6366422176361084, -0.26302570104599, -0.41750502586364746, 0.3255007863044739, 1.9995145797729492, 1.5537278652191162]	7.0	3.0	[0.692344069480896, -0.7172846794128418, -0.7225666046142578, -0.9259846806526184, -1.075795292854309, -0.6943230628967285, -0.1001637801527977, 0.9533864259719849]	[-0.587294340133667, 0.24301715195178986, -0.516523540019989, 0.8631628751754761, 0.13041962683200836, -0.5019220113754272, 0.5505627393722534, 0.37491196393966675, -0.25153863430023193, -0.1247553601861, -0.03868177533149719]	0
103	[-0.6673684120178223, 0.872580885887146, 0.7437156438827515, -0.7758380174636841, -0.25621432065963745, 0.6085973978042603, 1.0375127792358398, 0.6822100877761841]	[-0.5184013843536377, 5.582555770874023, 1.9577070474624634, 1.2909283638000488, -0.24354489147663116, 1.675351619720459, -0.3476085662841797, 1.247512698173523, -1.1840740442276, -0.2955988049507141, -0.6315873861312866, 1.1174511909484863, -3.1733291149139404, -2.5560317039489746, -1.1088579893112183, 1.7116671800613403]	0.0	4.0	[1.344274878501892, -0.6529690623283386, 0.41282156109809875, -1.6157749891281128, -0.6793413758277893, -1.0495784282684326, -1.161164402961731, -0.867307186126709]	[-0.3035086393356323, -0.2999792695045471, -0.4709387719631195, -0.5609394907951355, 1.7721107006072998, -0.550633430480957, 0.02402222901582718, -0.3433372974395752, -0.3406927287578583, -0.4246651530265808, -0.251372367143631]	4
104	[0.5007097721099854, 0.9197705388069153, 0.606359601020813, -0.8458578586578369, -0.6456735730171204, 0.2559286952018738, -0.2610452175140381, -0.8781461715698242]	[-1.3646479845046997, 0.6982756853103638, 0.2517433762550354, 0.06184707581996918, -1.5313493013381958, 0.5932015776634216, -0.4952003061771393, -0.4368380904197693, -1.0651694536209106, -0.4524552822113037, -0.36137330532073975, -0.19750571250915527, -0.6230742931365967, -2.561129093170166, -1.379150390625, 0.0662311315536499]	5.0	3.0	[0.25011593103408813, -0.2986528277397156, 0.614626944065094, -0.4625706374645233, 0.1594860851764679, 0.9452224373817444, -0.1765475869178772, -1.6385393142700195]	[-0.7262208461761475, -0.6255474090576172, -0.4024072289466858, 2.2528700828552246, -0.5372502207756042, -0.8389784097671509, -0.6908988356590271, -0.5730724334716797, -0.7927553653717041, -0.8109638094902039, -0.8135251402854919]	4
105	[0.5231667160987854, -0.11440214514732361, 0.922071635723114, 1.1426382064819336, -0.1142834722995758, -0.5064524412155151, -0.19939686357975006, -0.5527373552322388]	[-0.3884546458721161, 1.896167278289795, 0.2819494605064392, 0.7544430494308472, 2.012812376022339, 0.987829864025116, -1.2045352458953857, 1.24272620677948, 0.24385619163513184, -0.6767222881317139, 0.9948555827140808, 0.19735366106033325, 0.6880103349685669, -0.5492392778396606, -0.0946761965751648, -0.371985524892807]	0.0	5.0	[0.4092508554458618, -0.9410197734832764, 0.011724907904863358, 0.1702147126197815, -0.5554327368736267, -0.4163602292537689, 0.30389928817749023, -0.7831010818481445]	[-0.37341922521591187, -0.41657572984695435, -0.1767636239528656, 0.9783129692077637, -0.8093194365501404, 5.841320991516113, 0.9297366142272949, 2.0359013080596924, 2.1434242725372314, 1.8019686937332153, 2.006333351135254]	4
106	[-0.5033535361289978, -0.020505785942077637, -0.772666335105896, -0.32379767298698425, -1.1226032972335815, 0.4899929463863373, -0.9667153358459473, -1.2928612232208252]	[-1.100393533706665, -1.1348668336868286, -0.20151518285274506, 0.6668446063995361, 0.34250205755233765, 0.09171247482299805, 0.7369356155395508, -0.46417340636253357, -0.8322334885597229, -1.2482997179031372, -0.3342730402946472, 2.2666566371917725, 0.3508013188838959, 0.18225699663162231, 1.0088558197021484, 0.9855599403381348]	5.0	3.0	[-0.8166903853416443, 0.11322461813688278, 0.1364401876926422, -0.12684296071529388, 0.2140251100063324, 1.1118311882019043, 0.3989272713661194, -0.8999611139297485]	[-0.536027193069458, -0.3475669026374817, -0.6706911325454712, 1.8173047304153442, -0.5292428135871887, -0.744610607624054, -0.6078170537948608, -0.37923145294189453, -0.7314488291740417, -0.6458269357681274, -0.59024977684021]	4
107	[-0.04993855953216553, 1.1552331447601318, -0.47818997502326965, -1.2154744863510132, 0.09580576419830322, -0.06279230117797852, -2.8525352478027344, -1.476541519165039]	[-0.8398504853248596, 3.493734359741211, 0.07949763536453247, 1.7297537326812744, -0.3993706703186035, -0.07597380876541138, -1.929746150970459, -0.2647218704223633, -1.147080421447754, -0.6336477994918823, -1.6615161895751953, -0.5221969485282898, -1.5361697673797607, -1.7132303714752197, -1.2717331647872925, 1.9427704811096191]	5.0	4.0	[-0.3818415701389313, 1.6114801168441772, 0.8815261721611023, 1.023927092552185, 1.1080868244171143, 3.2925002574920654, -0.410209596157074, -0.1252768635749817]	[-0.6459164023399353, -0.3834674656391144, -0.4329873025417328, -0.8183754682540894, 2.2330515384674072, -0.640438973903656, -0.4820234179496765, -0.30694249272346497, -0.5342442989349365, -0.4191786050796509, -0.5813130140304565]	4
108	[-0.06449559330940247, -1.6326947212219238, 0.43347030878067017, -1.6683731079101562, 0.5899993181228638, -0.00024709105491638184, -1.3980133533477783, -0.9268918037414551]	[2.4919557571411133, -3.488274097442627, -1.2997303009033203, -1.8798394203186035, 1.257381558418274, -2.1482889652252197, -0.8674200773239136, -1.1951781511306763, 1.5000619888305664, -0.6504937410354614, 1.3711233139038086, 0.4415605962276459, -0.359991192817688, 2.6624295711517334, 0.24702131748199463, 0.15542101860046387]	3.0	6.0	[-0.4807397127151489, 1.006900429725647, -0.13626448810100555, 1.80210542678833, 1.1318329572677612, 0.13234373927116394, -0.0028819870203733444, 0.7707459330558777]	[0.38664329051971436, 0.673002302646637, 0.7045753598213196, -0.5787397027015686, -0.5547277927398682, 2.3110640048980713, 2.7381675243377686, 2.2032735347747803, 1.7425878047943115, 1.7064651250839233, 1.8364936113357544]	4
109	[-0.28700217604637146, 2.5237810611724854, 0.9658387899398804, -0.7369252443313599, -0.8599295616149902, -0.06944042444229126, -0.22484546899795532, -1.0437169075012207]	[-0.6681510210037231, 4.842010498046875, 1.0934724807739258, 0.8857179880142212, 0.49585944414138794, 0.567457377910614, -1.2710438966751099, 0.7837675213813782, -3.960510730743408, 1.4735043048858643, -2.299755573272705, 0.5964464545249939, -1.8649215698242188, -2.7704830169677734, -3.2625303268432617, -0.5608832836151123]	5.0	4.0	[0.40936967730522156, -0.47302788496017456, 1.0618884563446045, -0.924795389175415, -0.5955759286880493, 2.266139268875122, -1.4797574281692505, -2.2443788051605225]	[-0.777222216129303, -0.5022876262664795, -0.36183133721351624, -0.6608284711837769, 2.1459012031555176, -0.7031175494194031, -0.6588234305381775, -0.8391841650009155, -0.7459880113601685, -0.5847250819206238, -0.8229373693466187]	3
110	[0.713122546672821, -0.7784591913223267, -0.7938549518585205, -0.13748767971992493, -1.303985357284546, 0.2081022560596466, 0.4610114097595215, -1.2315441370010376]	[0.17957419157028198, -1.0785527229309082, -0.04103580117225647, -0.5882571935653687, 0.24138596653938293, 0.6148867011070251, -1.0374035835266113, 0.11850133538246155, -1.1210262775421143, 0.07304024696350098, -1.7182526588439941, 1.2330644130706787, -1.108937382698059, 0.44246336817741394, -0.07040725648403168, 1.0375139713287354]	6.0	3.0	[-1.1471960544586182, -0.8849621415138245, -0.6189113855361938, -0.6252903938293457, 0.40110594034194946, -0.3077934980392456, 1.1677896976470947, -1.5582573413848877]	[-0.7539504170417786, -0.3167968988418579, -0.3894413709640503, 1.0011882781982422, 0.5337624549865723, -0.4888724982738495, -0.2201385200023651, -0.5056083798408508, -0.3918609917163849, -0.4930117428302765, -0.45612746477127075]	1
111	[0.6472840905189514, 1.320621132850647, -0.020366519689559937, -0.15872743725776672, -1.5336110591888428, 0.424829363822937, -2.1216182708740234, -0.568889856338501]	[-0.8047266602516174, 1.328019142150879, 0.08833491802215576, 0.9520072937011719, -0.7559282779693604, 0.9272691607475281, -1.70759916305542, -0.8086682558059692, -2.123488426208496, -0.0734623372554779, -2.028801918029785, 0.07538044452667236, 0.6344889998435974, -1.2953813076019287, 0.408732533454895, 0.742283046245575]	2.0	3.0	[0.7645241618156433, 0.6292776465415955, 1.4703474044799805, -0.5299083590507507, 0.9179747700691223, 0.9010587334632874, 0.9261431694030762, -1.657004714012146]	[-0.8616071939468384, -0.4104515016078949, -0.6545142531394958, 2.295259475708008, -0.6617485880851746, -0.4402656555175781, -0.4221343696117401, -0.7272137999534607, -0.5635020732879639, -0.8068490028381348, -0.7826204299926758]	3
112	[0.13839074969291687, -0.4373244643211365, -0.08838346600532532, 0.6896378397941589, -0.10915029048919678, 0.6093826293945312, -1.7972831726074219, -0.5169347524642944]	[-0.06026998907327652, -0.30964839458465576, -1.3325433731079102, -0.574262797832489, 1.2696629762649536, 0.5759178996086121, 2.314828634262085, -0.01797764003276825, 0.16207414865493774, 1.2714109420776367, 0.4086496829986572, 1.8956029415130615, 2.370375633239746, 1.9169979095458984, -0.1404910683631897, 0.3055349588394165]	6.0	7.0	[0.5392507910728455, 0.38896268606185913, 0.5392552614212036, 0.5096491575241089, 0.16067257523536682, 0.25657516717910767, 1.1130446195602417, 0.13187812268733978]	[-0.8645269870758057, 1.0541208982467651, 2.4499692916870117, -0.5435585379600525, -0.6366655230522156, 1.355501413345337, 2.8980631828308105, 2.955172538757324, 2.3098952770233154, 2.4534244537353516, 2.455249309539795]	2
113	[-0.1514718234539032, -0.3247929513454437, -0.9323314428329468, 0.7308601140975952, -0.38567131757736206, -0.12763866782188416, 0.13688206672668457, -0.6883787512779236]	[0.5445666909217834, 1.314713716506958, -1.196813702583313, -0.7738750576972961, 1.1526137590408325, 1.591293215751648, 1.5486524105072021, -0.49901312589645386, -0.140756756067276, -0.18214666843414307, -2.666351318359375, 1.4390194416046143, 1.1028741598129272, -0.46409308910369873, -0.6077143549919128, 0.15904808044433594]	6.0	3.0	[-0.6555585265159607, -0.6881415843963623, -0.6951111555099487, -0.5424144864082336, -0.3202229142189026, -0.03791548311710358, 0.30409762263298035, -0.4086427390575409]	[0.6987662315368652, -0.9915119409561157, -0.8974941968917847, 1.007104516029358, -0.8222383260726929, -0.996269702911377, -0.3669639825820923, -1.1897733211517334, -1.0794427394866943, -1.0905228853225708, -0.9949698448181152]	4
