	z_a	z_e	a	e	a_logits	e_logits	e_in
440	[1.1888985633850098, 4.460366249084473, 2.4784622192382812, 0.2542598843574524]	[1.907098650932312, -1.5589704513549805, 7.190907001495361, 10.079437255859375, -11.39909553527832, -11.541430473327637, -9.651100158691406, -1.9904122352600098]	5.0	5.0	[0.2144322395324707, 1.9915850162506104, 1.1301482915878296, 2.1278390884399414, 2.417276620864868, 2.5366523265838623, 1.9190245866775513, 0.9629769325256348]	[-0.7627191543579102, -0.4165295958518982, -0.5866990685462952, -0.30705001950263977, -0.48815304040908813, -0.02997444011271, -0.7145770788192749, -0.8239737749099731, -0.7460314631462097, -0.8037866950035095, -0.699487566947937]	6
441	[1.250478744506836, 1.0512781143188477, 0.9377034306526184, 0.433216392993927]	[1.5380522012710571, -3.867493152618408, 6.893728733062744, 9.399198532104492, -10.122502326965332, -10.72116470336914, -11.967503547668457, -1.0813510417938232]	6.0	3.0	[-0.47209298610687256, -0.28014564514160156, -0.4154205918312073, 0.30610522627830505, 0.17744646966457367, -0.27697065472602844, 0.7109132409095764, -0.0737919881939888]	[-1.7782397270202637, -0.3209720849990845, -1.9889568090438843, 1.9495068788528442, 0.9084304571151733, 0.04161795973777771, 0.27256935834884644, 0.06561987102031708, 0.1811751127243042, 0.3646940588951111, 0.32130831480026245]	4
442	[1.432435393333435, 1.0254180431365967, 1.999314308166504, -0.8208713531494141]	[3.414379358291626, -6.556384563446045, 8.869298934936523, 10.662402153015137, -9.953481674194336, -12.497987747192383, -14.256567001342773, -3.229879856109619]	6.0	0.0	[-0.2896380126476288, 0.38351455330848694, 0.14484666287899017, -0.13896828889846802, 0.6467527747154236, 0.309821754693985, 0.8988185524940491, -1.018046498298645]	[2.6639907360076904, -0.6430885195732117, 1.1393322944641113, -0.399322509765625, -0.2990204095840454, -0.16615179181098938, 0.8929784297943115, 0.790839672088623, 0.77787184715271, 0.50300532579422, 0.6315913200378418]	0
443	[1.542784571647644, -0.16909563541412354, 0.9500241875648499, 0.8388587832450867]	[3.0852324962615967, -2.901892900466919, 7.085452556610107, 9.900781631469727, -11.404977798461914, -13.397361755371094, -12.558245658874512, -2.622415542602539]	6.0	3.0	[-1.183985710144043, -1.2452220916748047, -1.3091182708740234, -0.2740357220172882, -0.6317475438117981, -1.1614322662353516, 0.5655316710472107, -0.49656665325164795]	[0.025774085894227028, -1.3019906282424927, -0.2523882985115051, 0.8423002362251282, -0.3202284574508667, -1.2223562002182007, -0.11168880015611649, -0.34714818000793457, -0.2482312172651291, -0.11228837817907333, -0.06367755681276321]	3
444	[-1.83616042137146, -1.0748960971832275, -1.327345371246338, -0.35409149527549744]	[3.3946945667266846, -7.612022876739502, 7.745800495147705, 9.977328300476074, -7.344417095184326, -10.904044151306152, -13.823766708374023, -2.6748077869415283]	0.0	5.0	[2.145022392272949, 0.10363557189702988, 1.1176832914352417, -1.02069890499115, -1.03583824634552, -0.7287896871566772, -2.4424703121185303, 0.449790358543396]	[0.024783650413155556, 0.6959949135780334, 0.6756927967071533, 0.5338513255119324, 0.5417916178703308, 1.190528154373169, 0.9798959493637085, 0.6806800365447998, 0.6667994856834412, 0.8987569212913513, 0.9887468218803406]	4
445	[1.9433817863464355, -0.35363006591796875, 1.930424451828003, 0.5992454290390015]	[3.3962559700012207, -2.3188161849975586, 5.847494602203369, 6.718159198760986, -8.885187149047852, -11.913081169128418, -13.719021797180176, -3.6809492111206055]	6.0	0.0	[-1.6298635005950928, -1.2242416143417358, -1.4916402101516724, -0.5034909248352051, -0.5346834063529968, -0.9339932799339294, 0.9080124497413635, -1.0624467134475708]	[1.0498738288879395, -0.5045119524002075, -0.392922043800354, -0.8880505561828613, -1.4079681634902954, -0.2808310091495514, -0.6555169224739075, -0.4996893107891083, -0.6816883087158203, -0.49945804476737976, -0.6414371132850647]	0
446	[-0.2113334834575653, -1.157385230064392, 0.40901634097099304, -0.8091908693313599]	[3.260065793991089, -6.396545886993408, 7.4189772605896, 9.526861190795898, -8.73090648651123, -10.988865852355957, -13.758378028869629, -2.6072168350219727]	0.0	3.0	[0.7275903820991516, -0.23329606652259827, 0.3031837046146393, -1.2992550134658813, -0.7684292197227478, -0.766338586807251, -1.129730463027954, -0.8734124302864075]	[0.4120042324066162, -1.5582488775253296, -0.44036394357681274, 0.9764620661735535, 0.7309218645095825, -0.0004407288215588778, 0.3540544807910919, 0.49879539012908936, 0.45323067903518677, 0.47838476300239563, 0.6414411067962646]	4
447	[1.056130051612854, 2.882028579711914, 1.400660753250122, -0.9568685293197632]	[2.696502208709717, -6.730525970458984, 8.144139289855957, 9.78585433959961, -9.937169075012207, -11.568538665771484, -12.731969833374023, -4.335794448852539]	4.0	1.0	[0.6489081978797913, 1.471327781677246, 1.188859224319458, 0.9171494245529175, 1.6556740999221802, 1.2387983798980713, 1.116316795349121, -0.044622499495744705]	[-1.061753749847412, 1.7343683242797852, 0.17730052769184113, 0.20137834548950195, 1.0074245929718018, 1.685085415840149, 1.1024770736694336, 1.3820914030075073, 1.0760884284973145, 1.3682910203933716, 1.2990777492523193]	1
448	[1.1410439014434814, -1.130249261856079, 1.5690243244171143, -0.5459772348403931]	[2.321439504623413, -6.250524520874023, 8.825965881347656, 9.349536895751953, -9.497751235961914, -9.732990264892578, -12.340860366821289, -1.9274888038635254]	6.0	3.0	[-0.6472755670547485, -0.7984326481819153, -0.6821228861808777, -1.2695924043655396, -0.7013901472091675, -0.9634719491004944, -0.007435285951942205, -1.5484731197357178]	[-1.0409398078918457, -0.4073100984096527, 0.3302417993545532, 1.9306063652038574, 0.9184644222259521, 0.6827437877655029, 1.3442243337631226, 0.9294503927230835, 1.0063294172286987, 1.0795421600341797, 1.2051901817321777]	3
449	[0.21624113619327545, 0.8400249481201172, 0.35320472717285156, 2.51254940032959]	[1.2904753684997559, 0.6654771566390991, 4.471347808837891, 8.275710105895996, -7.754494667053223, -12.061528205871582, -10.806863784790039, -1.2426458597183228]	7.0	0.0	[-0.509445309638977, -0.8090422749519348, -0.9253552556037903, 0.8400188088417053, -0.5081217885017395, -0.25467395782470703, -0.020988162606954575, 1.4854971170425415]	[0.15394002199172974, -0.8466288447380066, -0.6492658853530884, -0.3246624171733856, -0.30999600887298584, -1.4644067287445068, -1.3161351680755615, -1.479451060295105, -1.4991569519042969, -1.579271912574768, -1.4930591583251953]	0
450	[0.13851483166217804, 0.6503960490226746, 0.49753516912460327, -0.8391402363777161]	[3.445777416229248, -6.105369567871094, 5.83101224899292, 8.830623626708984, -9.114412307739258, -11.87391471862793, -10.953001022338867, -2.777921199798584]	0.0	5.0	[0.9142034649848938, 0.5484627485275269, 0.8132913708686829, -0.2774304449558258, 0.26016005873680115, 0.06172763183712959, -0.32229942083358765, -0.3191087245941162]	[-0.31930145621299744, 1.381305456161499, -0.1653416007757187, -0.17030547559261322, 0.8401309847831726, 1.5494948625564575, 0.9776651859283447, 1.215604305267334, 0.9465354681015015, 1.136047124862671, 1.2052321434020996]	1
451	[1.1798681020736694, -2.292799949645996, 1.6709039211273193, 0.42725667357444763]	[4.40615177154541, -4.1118316650390625, 6.135021686553955, 10.014062881469727, -9.869048118591309, -13.062765121459961, -14.084307670593262, -2.7490601539611816]	6.0	0.0	[-1.4114679098129272, -1.8017802238464355, -1.6801800727844238, -1.650753140449524, -1.5922666788101196, -1.6538540124893188, -0.26238906383514404, -1.558974027633667]	[1.0997339487075806, -0.7450608015060425, -0.35661759972572327, -0.8473029136657715, -0.08326862007379532, -0.2907453775405884, -0.1441786289215088, -0.8483476042747498, -0.6107010245323181, -0.7123537063598633, -0.7329168319702148]	0
452	[-0.24703936278820038, -0.8864084482192993, 1.1201351881027222, -1.1472212076187134]	[2.3918168544769287, -6.484395503997803, 10.545661926269531, 9.742962837219238, -8.959992408752441, -10.011601448059082, -12.378702163696289, -3.245143175125122]	0.0	4.0	[0.8284218907356262, 0.24410712718963623, 0.6345287561416626, -1.2815442085266113, -0.4086618423461914, -0.15838252007961273, -0.9929752945899963, -1.0582048892974854]	[-1.4961034059524536, 1.0575535297393799, -0.1123424768447876, 0.3122028112411499, 2.354306221008301, 1.4280455112457275, 1.0707000494003296, 1.1215468645095825, 1.1833008527755737, 1.3676793575286865, 1.1040382385253906]	3
453	[-0.2967402935028076, -1.5805965662002563, 0.34388598799705505, -0.3529985547065735]	[4.12010383605957, -4.340933799743652, 8.957387924194336, 9.868959426879883, -9.471281051635742, -12.943318367004395, -13.185321807861328, -2.4543848037719727]	0.0	0.0	[0.5023037195205688, -0.6099237203598022, -0.050977885723114014, -1.4019412994384766, -1.1300138235092163, -1.0221538543701172, -1.2993078231811523, -0.7607658505439758]	[2.5555529594421387, -0.37753450870513916, 0.679069459438324, -0.7435576915740967, -2.3097732067108154, -0.6448284983634949, 0.4320242404937744, 0.5678259134292603, 0.1412099003791809, 0.43048959970474243, 0.22057287395000458]	0
454	[1.161077618598938, 4.3376874923706055, 2.238036632537842, -0.7668058276176453]	[3.4556798934936523, -3.5760369300842285, 7.4675116539001465, 10.891140937805176, -8.729056358337402, -9.996646881103516, -11.279203414916992, -1.407468318939209]	4.0	4.0	[0.6911332607269287, 2.302794933319092, 1.6277893781661987, 1.7649199962615967, 2.5673134326934814, 2.437126636505127, 1.7646902799606323, 0.4431963860988617]	[-1.303879737854004, 0.29054659605026245, -0.7658084630966187, -0.2960158586502075, 2.5363569259643555, 0.9623794555664062, 0.4740559458732605, 0.27662304043769836, 0.33405667543411255, 0.45895758271217346, 0.3783022463321686]	0
455	[-1.0841420888900757, -1.3099558353424072, 0.7387186884880066, -1.2154443264007568]	[3.241363763809204, -6.790376663208008, 8.639037132263184, 8.092028617858887, -8.928144454956055, -10.376541137695312, -10.548164367675781, -3.3511710166931152]	0.0	5.0	[1.4685558080673218, 0.42638540267944336, 1.042495846748352, -1.522233009338379, -0.6487680673599243, -0.07586203515529633, -1.7595562934875488, -0.823107898235321]	[0.045560818165540695, 0.8492521047592163, 0.8160598874092102, -0.18322689831256866, 1.255098581314087, 1.5411611795425415, 1.5246620178222656, 1.1990541219711304, 1.4075238704681396, 1.4641468524932861, 1.2044241428375244]	6
456	[1.1077332496643066, -0.4727932810783386, 2.28079891204834, 0.18755541741847992]	[3.054860830307007, -5.8167266845703125, 7.8622846603393555, 9.3102445602417, -10.038421630859375, -12.765495300292969, -12.536343574523926, -1.567972183227539]	6.0	1.0	[-0.9106999635696411, -0.5606163740158081, -0.7600399851799011, -0.7101330757141113, -0.3933125436306, -0.2362651228904724, 0.31669357419013977, -1.0216840505599976]	[0.2175491899251938, 0.7938412427902222, 0.2003796249628067, -0.7500388026237488, 0.5398733615875244, 0.37324920296669006, 0.5137013792991638, 0.38464581966400146, 0.3416178822517395, 0.5407222509384155, 0.3473886251449585]	3
457	[-0.9956801533699036, 0.941116988658905, 0.10813595354557037, -0.7803437113761902]	[3.205080986022949, -8.051288604736328, 8.599761009216309, 8.753327369689941, -8.48025131225586, -9.816520690917969, -12.939353942871094, -2.8873746395111084]	0.0	4.0	[1.911287784576416, 1.2164788246154785, 1.636380672454834, -0.06920818984508514, 0.40839341282844543, 0.7095379829406738, -1.0682719945907593, 0.4078620374202728]	[0.18784604966640472, -0.707138180732727, 0.4911526143550873, 0.13998745381832123, 1.8853645324707031, 0.5222050547599792, 0.8318055272102356, 0.5521184206008911, 0.8622797131538391, 0.9114376306533813, 0.7393079400062561]	1
458	[0.8985352516174316, 1.3006569147109985, 1.9536184072494507, -0.824961245059967]	[2.483933687210083, -5.836493968963623, 7.950709819793701, 9.644728660583496, -11.280482292175293, -12.130046844482422, -13.004586219787598, -4.125517845153809]	4.0	4.0	[0.20133326947689056, 0.8175297379493713, 0.6085684299468994, 0.021787630394101143, 0.8260248303413391, 0.7724816203117371, 0.6073971390724182, -0.6619898676872253]	[-0.049255430698394775, 0.15420754253864288, -0.20548871159553528, -0.14898771047592163, 2.1931726932525635, 0.6644312739372253, 1.046044111251831, 0.9419872164726257, 0.8191594481468201, 0.7765562534332275, 0.91956627368927]	3
459	[-1.3773329257965088, -0.608839750289917, -0.12565869092941284, -0.7099809646606445]	[3.0133533477783203, -5.554823875427246, 7.54011869430542, 9.324389457702637, -8.906604766845703, -11.175908088684082, -13.322142601013184, -1.9050474166870117]	0.0	6.0	[1.826116681098938, 0.5344653129577637, 1.2246955633163452, -0.9235076308250427, -0.5065803527832031, -0.04311319440603256, -1.8363325595855713, 0.022316422313451767]	[1.0323220491409302, 0.4002441167831421, 0.07119885832071304, 0.38670748472213745, 0.6062326431274414, 1.0712021589279175, 1.2010101079940796, 1.1925808191299438, 1.0073363780975342, 1.158589243888855, 1.1822048425674438]	2
460	[0.5077023506164551, 0.5628069639205933, 1.8170983791351318, -1.3264752626419067]	[4.27843713760376, -5.41145658493042, 7.655610084533691, 10.95637321472168, -9.60272216796875, -11.405052185058594, -13.671290397644043, -2.8434603214263916]	2.0	0.0	[0.5564286112785339, 0.8238890767097473, 0.8307800889015198, -0.542754590511322, 0.5331604480743408, 0.5778781771659851, 0.060138773173093796, -1.024743676185608]	[1.5179026126861572, -0.6238176226615906, -0.3522220551967621, 0.33476564288139343, 0.01448721531778574, 0.4768686890602112, 0.9643988013267517, 0.7317079901695251, 0.866716206073761, 0.848456084728241, 0.9656897187232971]	4
461	[0.8770983219146729, -1.9176852703094482, 1.5681395530700684, 1.7964818477630615]	[2.4355669021606445, -1.429936408996582, 7.840414524078369, 9.861051559448242, -7.4784674644470215, -13.05888843536377, -11.925980567932129, -3.803884267807007]	6.0	3.0	[-1.651668667793274, -2.0238616466522217, -2.051647901535034, -1.0201987028121948, -1.725942611694336, -1.4331833124160767, -0.285420298576355, -0.5430510640144348]	[-0.5838592052459717, -1.0824617147445679, -0.47756192088127136, 0.14874540269374847, -0.8757282495498657, -0.6911801695823669, -0.9823242425918579, -1.2473180294036865, -1.2951550483703613, -0.877680778503418, -1.1905423402786255]	6
462	[1.1751564741134644, 2.0159854888916016, 1.8376508951187134, -0.1822700947523117]	[3.447413682937622, -5.856377124786377, 6.8988752365112305, 11.65091323852539, -11.217616081237793, -14.593391418457031, -13.031517028808594, -4.1318559646606445]	6.0	0.0	[-0.0824342891573906, 0.7427486777305603, 0.3709554970264435, 0.6290436387062073, 1.034669041633606, 0.8700488209724426, 1.0422807931900024, -0.1362532377243042]	[0.456953763961792, -1.2275888919830322, 0.04010031744837761, -0.41388919949531555, 0.37007227540016174, -0.4237891733646393, -0.06072499603033066, -0.3348555266857147, -0.19872230291366577, -0.2599032521247864, -0.14580556750297546]	4
463	[1.5146028995513916, 2.698840379714966, 2.6309814453125, 0.694797694683075]	[2.534723997116089, -2.5695290565490723, 5.831545829772949, 7.425445079803467, -10.38692855834961, -11.4143705368042, -11.013656616210938, -1.535725712776184]	6.0	4.0	[-0.703590452671051, 0.7457168698310852, -0.015997063368558884, 1.2404810190200806, 1.3137332201004028, 1.4103344678878784, 1.6523960828781128, 0.29440900683403015]	[-0.43709516525268555, -0.8625324964523315, -0.6273316740989685, -0.08785689622163773, 0.6893093585968018, -0.866473376750946, -0.7279638051986694, -1.280212640762329, -0.9540714621543884, -0.548717200756073, -0.9864515066146851]	4
464	[1.3517707586288452, 1.9268250465393066, 1.9135704040527344, -0.8945940136909485]	[4.226809501647949, -6.417949676513672, 6.995081901550293, 11.540369033813477, -9.349187850952148, -11.216537475585938, -12.517366409301758, -1.369808554649353]	4.0	0.0	[0.050375938415527344, 0.9084858894348145, 0.5946598052978516, 0.360550194978714, 1.1670310497283936, 0.8144180178642273, 1.1031501293182373, -0.6340709924697876]	[2.713958978652954, -0.9684123396873474, 0.5854285359382629, -0.08474549651145935, -1.3706058263778687, -0.18234507739543915, 0.7661331295967102, 0.4323810040950775, 0.5573480129241943, 0.4426223039627075, 0.5224582552909851]	0
465	[1.5833699703216553, 2.295997142791748, 2.0007412433624268, -0.21310840547084808]	[1.699479579925537, -3.2726216316223145, 7.853527545928955, 9.716100692749023, -12.276159286499023, -11.037161827087402, -13.531031608581543, -4.23960018157959]	6.0	3.0	[-0.34380561113357544, 0.7128602862358093, 0.23431725800037384, 0.7705692052841187, 1.2058327198028564, 0.862686812877655, 1.4314489364624023, -0.249495267868042]	[-0.18641702830791473, -0.549220621585846, -0.1713198572397232, 0.7642307877540588, 0.6036785244941711, 0.49786484241485596, 0.48465755581855774, 0.15767261385917664, 0.4459485113620758, 0.3918623924255371, 0.45361191034317017]	4
466	[0.9685813188552856, 2.729677677154541, 1.781330943107605, -0.30670756101608276]	[2.675225257873535, -4.934703826904297, 8.818291664123535, 8.732166290283203, -9.4099760055542, -11.623578071594238, -13.344289779663086, -1.7474812269210815]	4.0	3.0	[0.3225056231021881, 1.2686007022857666, 0.8564552664756775, 1.004680871963501, 1.4731712341308594, 1.3719336986541748, 1.1028437614440918, 0.19456171989440918]	[0.20656199753284454, -1.0801944732666016, -1.2084028720855713, 1.0503023862838745, -0.8691853880882263, -1.1785752773284912, -0.07717524468898773, -0.44112998247146606, -0.47835996747016907, -0.18558160960674286, -0.3698078393936157]	4
467	[1.3719606399536133, 0.7090334892272949, 2.545029640197754, -0.5102412104606628]	[3.862990617752075, -5.108328342437744, 7.5582990646362305, 9.03892993927002, -10.099851608276367, -11.197603225708008, -13.346622467041016, -4.240290641784668]	6.0	0.0	[-0.5653169751167297, 0.26047906279563904, -0.087787926197052, -0.25557073950767517, 0.4830425977706909, 0.4593011438846588, 0.8555607795715332, -1.065545678138733]	[1.9217913150787354, -0.5236191153526306, 1.0007221698760986, -1.0101438760757446, -0.6276324391365051, 0.019220642745494843, 0.6786016821861267, 0.4264134168624878, 0.35674965381622314, 0.3855554461479187, 0.4681268036365509]	0
468	[1.0458347797393799, 2.035810947418213, 1.749348521232605, -0.15713715553283691]	[3.711855888366699, -2.51019287109375, 5.92669677734375, 10.96177864074707, -9.912747383117676, -11.83270263671875, -13.571428298950195, -4.7815842628479]	4.0	4.0	[0.02863815799355507, 0.7934626936912537, 0.448448121547699, 0.652923583984375, 1.0320321321487427, 0.9098564386367798, 0.9481502771377563, -0.04084288701415062]	[0.06495416909456253, -0.9264276027679443, -0.6358789801597595, -0.0410231277346611, 0.6638948321342468, -0.1934138536453247, -0.02265348471701145, -0.4428781569004059, -0.3008716106414795, -0.32075396180152893, -0.2552271783351898]	3
469	[-0.19004976749420166, -0.6633960604667664, -0.6821837425231934, -0.5589287281036377]	[3.476379632949829, -4.230246543884277, 8.357340812683105, 13.297107696533203, -7.891551971435547, -10.904508590698242, -12.44365119934082, -2.3289129734039307]	0.0	0.0	[0.9455085396766663, -0.36167478561401367, 0.32155853509902954, -0.8848783373832703, -0.7345383167266846, -1.153898000717163, -1.1002411842346191, -0.3405347764492035]	[1.9967567920684814, -0.1646699458360672, 0.1022181287407875, 0.37910640239715576, -1.0431331396102905, 0.09007028490304947, 0.8539661169052124, 0.8548901677131653, 0.7443671822547913, 0.8241056799888611, 0.9612190127372742]	0
470	[1.1532477140426636, -0.7545620799064636, 2.0133893489837646, -0.7057073712348938]	[2.950110912322998, -7.2757039070129395, 6.254183769226074, 8.205982208251953, -8.493387222290039, -11.480472564697266, -11.802016258239746, -4.888912200927734]	6.0	0.0	[-0.5804085731506348, -0.43290475010871887, -0.44238805770874023, -1.1249330043792725, -0.37443381547927856, -0.49614936113357544, 0.16846111416816711, -1.5679243803024292]	[2.5649776458740234, -0.7734206914901733, 1.1852760314941406, -0.5894691944122314, -1.2145485877990723, 0.00578316068276763, 0.884154736995697, 0.9898400902748108, 0.6259289979934692, 0.5957410335540771, 0.7341434359550476]	0
471	[1.2880902290344238, 0.2957059442996979, 1.3742868900299072, 0.2839977741241455]	[2.8500938415527344, -2.7762866020202637, 8.51876163482666, 12.918704986572266, -8.1331148147583, -10.36766242980957, -14.177587509155273, -2.284593343734741]	6.0	3.0	[-0.7155844569206238, -0.5258742570877075, -0.6506167054176331, -0.19441013038158417, -0.14282795786857605, -0.4540388584136963, 0.5566752552986145, -0.5617390275001526]	[-0.2340502291917801, 0.4595962166786194, -0.13930629193782806, 0.5340451002120972, 0.2501102685928345, 0.16889096796512604, 0.25987038016319275, 0.1695520579814911, -0.13856488466262817, 0.20328369736671448, 0.17854253947734833]	6
472	[0.6774933934211731, 0.3431149423122406, 1.3222682476043701, -0.5808972716331482]	[2.035698890686035, -5.8526387214660645, 8.9579496383667, 11.877856254577637, -9.907729148864746, -11.77171516418457, -13.251891136169434, -2.2971644401550293]	2.0	4.0	[0.14761342108249664, 0.18432630598545074, 0.22416526079177856, -0.42091745138168335, 0.1280454844236374, 0.002196419518440962, 0.08757434040307999, -0.7091721892356873]	[-1.053484320640564, -0.7970336079597473, -0.9001761078834534, 1.1524080038070679, 1.6325173377990723, 0.04532435163855553, 0.1353592723608017, 0.3524908125400543, 0.5276034474372864, 0.6228709816932678, 0.5910152792930603]	4
473	[1.0479806661605835, -0.5652132630348206, 2.0026280879974365, -0.4376864731311798]	[4.9185261726379395, -3.4803624153137207, 6.3112616539001465, 10.388976097106934, -7.581334114074707, -10.18327808380127, -11.797174453735352, -1.8211358785629272]	6.0	1.0	[-0.5644457936286926, -0.38766956329345703, -0.43804800510406494, -0.9353666305541992, -0.3307102918624878, -0.3547341823577881, 0.16902965307235718, -1.3029265403747559]	[-0.31241574883461, 0.7671567797660828, 0.1428086906671524, 0.2474621832370758, 0.12385739386081696, 0.6890613436698914, 0.23205800354480743, 0.18878883123397827, 0.12027733027935028, -0.0455847792327404, 0.22688835859298706]	3
474	[1.5314630270004272, 3.012591600418091, 2.503711700439453, 0.1864125281572342]	[4.341986179351807, -3.7277231216430664, 7.545970916748047, 10.447154998779297, -9.218585968017578, -10.057721138000488, -13.717519760131836, -1.2854936122894287]	6.0	0.0	[-0.39295530319213867, 1.0772604942321777, 0.3611326217651367, 1.2749910354614258, 1.5981426239013672, 1.543497920036316, 1.7108055353164673, 0.17726974189281464]	[0.7032170295715332, -0.02442859672009945, -0.17706294357776642, -0.7141764163970947, -0.549874484539032, 0.0932171642780304, 0.2631702423095703, -0.02455992065370083, -0.09688392281532288, -0.17601265013217926, -0.0980663001537323]	0
475	[-0.9179723262786865, 0.10274457931518555, 0.6205697655677795, -0.737525463104248]	[5.65632963180542, -6.488764762878418, 7.772355556488037, 6.791444778442383, -6.406212329864502, -8.471678733825684, -10.209980964660645, -3.2678956985473633]	0.0	2.0	[1.5183511972427368, 0.8449687361717224, 1.2431553602218628, -0.563873827457428, 0.0029982037376612425, 0.4884171783924103, -1.1975898742675781, -0.04710867628455162]	[0.4237489700317383, 0.8949221968650818, 1.469497799873352, -0.3868022859096527, 0.4869978129863739, 0.996408224105835, 1.1472253799438477, 1.0117768049240112, 1.109610676765442, 1.3762599229812622, 1.2032501697540283]	6
476	[-1.359710693359375, -2.7586007118225098, -2.4319722652435303, -0.11155933141708374]	[4.371007919311523, -8.739655494689941, 7.839657783508301, 10.001923561096191, -7.35352897644043, -11.653093338012695, -9.9251708984375, -3.44549822807312]	0.0	2.0	[1.4651374816894531, -1.4178096055984497, -0.03201911970973015, -1.858101725578308, -2.263139009475708, -2.609853506088257, -2.7690398693084717, -0.11386420577764511]	[0.5933448672294617, 0.9306179285049438, 1.2859711647033691, 0.5742993950843811, 0.4862711727619171, 0.8526195883750916, 0.9942260980606079, 0.9320772290229797, 0.8932248950004578, 0.9102051258087158, 1.037395715713501]	3
477	[1.738959789276123, 1.276041865348816, 2.9323272705078125, -0.6532590389251709]	[2.641462802886963, -6.02051305770874, 8.683481216430664, 10.289892196655273, -10.613802909851074, -10.783390045166016, -13.821287155151367, -3.8224120140075684]	6.0	2.0	[-0.7181875109672546, 0.505495548248291, -0.01661274954676628, 0.005535075441002846, 0.8850821852684021, 0.7740082144737244, 1.328651785850525, -1.143977403640747]	[0.5393528342247009, 0.7325778603553772, 2.2516887187957764, -0.4323585331439972, 0.3095681965351105, 0.6737576127052307, 1.00223970413208, 0.6288962960243225, 0.6930009126663208, 0.774001955986023, 0.6690188050270081]	0
478	[-1.683204174041748, -1.944403052330017, -2.3431034088134766, 0.1700131744146347]	[1.3028959035873413, -7.889616012573242, 6.290112018585205, 8.520204544067383, -5.36452579498291, -10.45502758026123, -12.989863395690918, -2.136611223220825]	0.0	6.0	[1.782175064086914, -0.904446542263031, 0.3624206483364105, -1.3106311559677124, -1.839564561843872, -1.930770993232727, -2.7128171920776367, 0.491980642080307]	[0.4157557189464569, 0.7919960618019104, 0.705452561378479, 0.6202675700187683, 0.3472214341163635, 1.0658111572265625, 1.137368083000183, 0.8245028853416443, 0.9544991850852966, 0.9827918410301208, 1.0634980201721191]	3
479	[1.7055991888046265, -0.8741600513458252, 1.4214118719100952, -0.33056196570396423]	[4.3666276931762695, -5.324321746826172, 7.420327663421631, 9.454998016357422, -9.816936492919922, -10.688284873962402, -11.218420028686523, -3.520236015319824]	6.0	0.0	[-1.0791430473327637, -1.107144832611084, -1.0705032348632812, -1.0526604652404785, -0.6665616035461426, -1.2817448377609253, 0.4544876515865326, -1.5535638332366943]	[1.70199453830719, -0.04863649979233742, 0.2806594669818878, 0.02831607684493065, -0.7838122248649597, 0.28782397508621216, 1.121286153793335, 1.0326206684112549, 0.9437429308891296, 0.7331352233886719, 1.1955642700195312]	0
480	[0.21687884628772736, -0.7700863480567932, 2.056872606277466, -1.4308202266693115]	[3.93227219581604, -6.727150917053223, 7.447641372680664, 10.614669799804688, -6.736318588256836, -10.857316017150879, -11.225875854492188, -0.9079831838607788]	2.0	3.0	[0.43801677227020264, 0.3938160836696625, 0.5521865487098694, -1.3495957851409912, -0.14057430624961853, 0.1735898107290268, -0.5231931209564209, -1.543017029762268]	[-0.6412292122840881, -0.7638565897941589, 0.29640936851501465, 1.8769645690917969, -0.6566769480705261, 0.2476796805858612, 1.1809197664260864, 0.897072434425354, 0.5930240154266357, 0.8889035582542419, 0.9496604204177856]	3
481	[1.1018978357315063, -0.2538519501686096, 2.4365134239196777, -0.7932686805725098]	[3.173539400100708, -6.614753246307373, 7.104745864868164, 8.867603302001953, -9.704423904418945, -9.844931602478027, -10.765824317932129, -1.52549409866333]	6.0	1.0	[-0.45972388982772827, -0.001317545771598816, -0.14917142689228058, -0.8857113718986511, 0.005203546024858952, 0.061741817742586136, 0.34032270312309265, -1.466516137123108]	[0.7530732154846191, 2.067945718765259, 1.0781208276748657, -0.39931246638298035, -0.5613522529602051, 1.2180216312408447, 1.4073712825775146, 1.5634515285491943, 1.0125964879989624, 1.343291997909546, 1.1042141914367676]	1
482	[1.6600403785705566, 0.9889260530471802, 0.877386212348938, 0.7478732466697693]	[5.187095642089844, -4.426483631134033, 6.885100841522217, 9.985995292663574, -8.849166870117188, -10.155038833618164, -13.555521011352539, -5.5858964920043945]	6.0	1.0	[-0.9258835911750793, -0.6871023774147034, -0.8780557513237, 0.3661148250102997, 0.02967490814626217, -0.6314099431037903, 0.9862839579582214, -0.10639660060405731]	[-0.9802455902099609, 1.1324306726455688, -0.22050093114376068, 0.4772946238517761, 0.19085855782032013, 0.6314182877540588, -0.17571544647216797, -0.16893097758293152, -0.07472868263721466, -0.011376986280083656, 0.0672045648097992]	1
483	[0.7259478569030762, -1.4043233394622803, 2.0926520824432373, -0.8429858684539795]	[2.6997733116149902, -5.474003791809082, 8.973462104797363, 10.129661560058594, -8.957304000854492, -12.4707670211792, -12.005322456359863, -2.538191080093384]	6.0	5.0	[-0.3742007911205292, -0.4559912085533142, -0.3452780544757843, -1.5411657094955444, -0.671412467956543, -0.5271463394165039, -0.3240489065647125, -1.7315725088119507]	[0.22536490857601166, 1.3162970542907715, 0.18480505049228668, -0.1320725381374359, 1.236536979675293, 1.9781744480133057, 1.1569795608520508, 1.645094633102417, 1.2537178993225098, 1.1270606517791748, 1.3688024282455444]	1
