
/disk/junlin/EmoSp/bart-our/-LIGHT-TRANS4/all_loss0.6_0.2_0.2_kl-lr_2e-05-Emoin-nopp-empp-ensitu-vae-mvae256-wo_comet-vad-0.3124_II
vocab size = 50265
Some weights of BartForConditionalGeneration were not initialized from the model checkpoint at facebook/bart-base and are newly initialized: ['encoder.layers.0.attn_layer_norm_comet.weight', 'encoder.layers.0.attn_layer_norm_comet.bias', 'encoder.layers.1.attn_layer_norm_comet.weight', 'encoder.layers.1.attn_layer_norm_comet.bias', 'encoder.layers.2.attn_layer_norm_comet.weight', 'encoder.layers.2.attn_layer_norm_comet.bias', 'encoder.layers.3.attn_layer_norm_comet.weight', 'encoder.layers.3.attn_layer_norm_comet.bias', 'encoder.layers.4.attn_layer_norm_comet.weight', 'encoder.layers.4.attn_layer_norm_comet.bias', 'encoder.layers.5.attn_layer_norm_comet.weight', 'encoder.layers.5.attn_layer_norm_comet.bias', 'encoder.layers.5.muAttn.k_proj.weight', 'encoder.layers.5.muAttn.k_proj.bias', 'encoder.layers.5.muAttn.v_proj.weight', 'encoder.layers.5.muAttn.v_proj.bias', 'encoder.layers.5.muAttn.q_proj.weight', 'encoder.layers.5.muAttn.q_proj.bias', 'encoder.layers.5.muAttn.out_proj.weight', 'encoder.layers.5.muAttn.out_proj.bias', 'encoder.emotion_head.weight', 'encoder.emotion_head.bias', 'encoder.batchNorm_emotion.weight', 'encoder.batchNorm_emotion.bias', 'encoder.batchNorm_emotion.running_mean', 'encoder.batchNorm_emotion.running_var', 'encoder.batchNorm_strategy.weight', 'encoder.batchNorm_strategy.bias', 'encoder.batchNorm_strategy.running_mean', 'encoder.batchNorm_strategy.running_var', 'encoder.strategy_embedding.weight', 'encoder.multi_state_LayerNorm.weight', 'encoder.multi_state_LayerNorm.bias', 'encoder.strategy_head.weight', 'encoder.strategy_head.bias', 'encoder.trans_mat.emotion_embedding.weight', 'encoder.trans_mat.h_prior_emo.weight', 'encoder.trans_mat.h_prior_emo.bias', 'encoder.trans_mat.h_prior_strat.weight', 'encoder.trans_mat.h_prior_strat.bias', 'encoder.trans_mat.mu_prior.weight', 'encoder.trans_mat.mu_prior.bias', 'encoder.trans_mat.logvar_prior.weight', 'encoder.trans_mat.logvar_prior.bias', 'encoder.trans_mat.Dense_z_prior.weight', 'encoder.trans_mat.Dense_z_prior.bias', 'encoder.trans_mat.h_posterior_emo.weight', 'encoder.trans_mat.h_posterior_emo.bias', 'encoder.trans_mat.h_posterior_strat.weight', 'encoder.trans_mat.h_posterior_strat.bias', 'encoder.trans_mat.mu_posterior.weight', 'encoder.trans_mat.mu_posterior.bias', 'encoder.trans_mat.logvar_posterior.weight', 'encoder.trans_mat.logvar_posterior.bias', 'encoder.strat_cat_attn.V', 'encoder.strat_cat_attn.W.weight', 'encoder.emo_cat_attn.V', 'encoder.emo_cat_attn.W.weight', 'decoder.layers.0.encoder_attn_layer_norm_strategy.weight', 'decoder.layers.0.encoder_attn_layer_norm_strategy.bias', 'decoder.layers.0.encoder_attn_layer_norm_comet.weight', 'decoder.layers.0.encoder_attn_layer_norm_comet.bias', 'decoder.layers.0.encoder_attn_layer_norm_total.weight', 'decoder.layers.0.encoder_attn_layer_norm_total.bias', 'decoder.layers.1.encoder_attn_layer_norm_strategy.weight', 'decoder.layers.1.encoder_attn_layer_norm_strategy.bias', 'decoder.layers.1.encoder_attn_layer_norm_comet.weight', 'decoder.layers.1.encoder_attn_layer_norm_comet.bias', 'decoder.layers.1.encoder_attn_layer_norm_total.weight', 'decoder.layers.1.encoder_attn_layer_norm_total.bias', 'decoder.layers.2.encoder_attn_layer_norm_strategy.weight', 'decoder.layers.2.encoder_attn_layer_norm_strategy.bias', 'decoder.layers.2.encoder_attn_layer_norm_comet.weight', 'decoder.layers.2.encoder_attn_layer_norm_comet.bias', 'decoder.layers.2.encoder_attn_layer_norm_total.weight', 'decoder.layers.2.encoder_attn_layer_norm_total.bias', 'decoder.layers.3.encoder_attn_layer_norm_strategy.weight', 'decoder.layers.3.encoder_attn_layer_norm_strategy.bias', 'decoder.layers.3.encoder_attn_layer_norm_comet.weight', 'decoder.layers.3.encoder_attn_layer_norm_comet.bias', 'decoder.layers.3.encoder_attn_layer_norm_total.weight', 'decoder.layers.3.encoder_attn_layer_norm_total.bias', 'decoder.layers.4.encoder_attn_layer_norm_strategy.weight', 'decoder.layers.4.encoder_attn_layer_norm_strategy.bias', 'decoder.layers.4.encoder_attn_layer_norm_comet.weight', 'decoder.layers.4.encoder_attn_layer_norm_comet.bias', 'decoder.layers.4.encoder_attn_layer_norm_total.weight', 'decoder.layers.4.encoder_attn_layer_norm_total.bias', 'decoder.layers.5.encoder_attn_layer_norm_strategy.weight', 'decoder.layers.5.encoder_attn_layer_norm_strategy.bias', 'decoder.layers.5.encoder_attn_layer_norm_comet.weight', 'decoder.layers.5.encoder_attn_layer_norm_comet.bias', 'decoder.layers.5.encoder_attn_layer_norm_total.weight', 'decoder.layers.5.encoder_attn_layer_norm_total.bias', 'fuse_st_emo.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
  0%|                                                                                                                                          | 0/510 [00:00<?, ?it/s]
without comet
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Question]'}
I think you' re doing great! I hope you feel better soon.

Testing:  15%|█████████████████▋                                                                                                    | 345/2295 [01:36<10:26,  3.11it/s]
I think that is a great idea, I have been in the same situation and I know how stressful it can be.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Providing Suggestions or Information]'}
I can see how that would be hard. I have also found that when I am in a difficult situation, I try to focus on my writing and my family.
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Providing Suggestions or Information]'}
I think that' s a great idea. I think that you will be able to find something that will help you get through this tough time.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Self-disclosure]'}
I am sorry to hear that. What happened?
{'ref strategy': '[Reflection of feelings]', 'hyp strategy': '[Restatement or Paraphrasing]'}
I can understand how you feel. I have had friends who are jealous of me.
{'ref strategy': '[Question]', 'hyp strategy': '[Question]'}
You' re welcome. I hope you feel better soon.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Greeting]'}
I can understand that, I' ve also struggled with that too. Have you tried talking to your professors about how you are feeling?

Testing:  15%|██████████████████▏                                                                                                   | 354/2295 [01:38<07:50,  4.13it/s]
I am so sorry to hear that. I know it is hard but I know you will get through this!
{'ref strategy': '[Others]', 'hyp strategy': '[Reflection of feelings]'}
I' m sure you can get through this!
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Affirmation and Reassurance]'}
I' m sorry to hear that. I know how hard it can be to find a new job.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Restatement or Paraphrasing]'}
i understand how you feel. i have been in a warehouse before and i know how stressful it can be.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Providing Suggestions or Information]'}
I think that is a great idea, I think you will be very successful.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Providing Suggestions or Information]'}
Hi, I am sorry to hear that. What is the issue?
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Question]'}
You too!
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Greeting]'}
I can understand that. I lost my job a few years ago and it was very stressful. I know how hard it is to get through this.
{'ref strategy': '[Reflection of feelings]', 'hyp strategy': '[Providing Suggestions or Information]'}
I think it' s a good thing that you have been able to get some legalised weed. I think it will be a great thing for you to get legalised soon.

Testing:  16%|██████████████████▌                                                                                                   | 360/2295 [01:40<07:56,  4.06it/s]
I think you' re doing great! I hope you can keep pushing and getting good work done.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
You' re welcome. I hope you feel better soon.
{'ref strategy': '[Question]', 'hyp strategy': '[Greeting]'}
I understand how frustrating that can be. I have a 5 year old and I know how frustrating it can be to not be able to provide for him. I would suggest reaching out to your boss and asking if they would be willing to listen to you.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Providing Suggestions or Information]'}
I think that is a great idea. I think that you are very strong and capable of handling this situation.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Providing Suggestions or Information]'}
I think that it' s great that you are staying safe and happy. I hope that you will be able to enjoy the rest of your holidays!
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Affirmation and Reassurance]'}
I think it is important to be able to talk to people about it.

Testing:  16%|██████████████████▊                                                                                                   | 366/2295 [01:42<12:19,  2.61it/s]
I' m sorry to hear that. I have been in the same situation myself. I know it is hard to find work, but I know you can do it!
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Providing Suggestions or Information]'}
I am sure that you will feel better about yourself if you can trust her. I know that it is hard to move forward with someone who is not your friend, but I know you can do it!
{'ref strategy': '[Reflection of feelings]', 'hyp strategy': '[Self-disclosure]'}
I can understand how you feel. I have been in a similar situation and I know how hard it is to get over it.
{'ref strategy': '[Question]', 'hyp strategy': '[Providing Suggestions or Information]'}
I think that it is a good idea to get out there and talk to people who might be interested in you.
{'ref strategy': '[Question]', 'hyp strategy': '[Others]'}
I' m sorry to hear that. I' ve been in a similar situation before.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Restatement or Paraphrasing]'}
I understand that. I' ve been in a similar situation and i know how it feels.

Testing:  16%|███████████████████▎                                                                                                  | 375/2295 [01:44<07:12,  4.44it/s]
I' m sorry to hear that. What is going on?
{'ref strategy': '[Question]', 'hyp strategy': '[Question]'}
youre welcome.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Greeting]'}
I' m sorry to hear that. I know how hard it can be to make plans for the holidays.
{'ref strategy': '[Reflection of feelings]', 'hyp strategy': '[Restatement or Paraphrasing]'}
I' m sorry to hear that. I think it' s a really bad thing to be in the UK.
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Others]'}
I' m so sorry to hear that. What was going on?
{'ref strategy': '[Others]', 'hyp strategy': '[Question]'}
I am a bit younger than you but I have a lot of knowledge of the UK.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Self-disclosure]'}
You too!
{'ref strategy': '[Others]', 'hyp strategy': '[Greeting]'}
I think that would be a great idea! I think that you guys are both very mature and open to the idea of getting together.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I' m sorry to hear that. I think you should try to talk to her and see what she thinks.

Testing:  17%|███████████████████▋                                                                                                  | 382/2295 [01:46<07:46,  4.10it/s]
I think that you should start by talking to a professional about it. They can help you with some of the issues you are facing.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I' m sorry to hear that. What is going on?
{'ref strategy': '[Others]', 'hyp strategy': '[Affirmation and Reassurance]'}
i think you' re doing great! i hope you have a great rest of your day.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Greeting]'}
I have been in a long distance relationship for about two years. I know how stressful it can be to walk alone at night, but I know that you can do it!
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Self-disclosure]'}
I am so sorry to hear that. I know how hard it can be to date a man.
{'ref strategy': '[Question]', 'hyp strategy': '[Question]'}
I am glad to hear that. I hope you can find some peace in this situation.
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Self-disclosure]'}
I am sorry to hear that. I think that you should be able to move on from this situation and move on with your life.

Testing:  17%|████████████████████                                                                                                  | 390/2295 [01:48<08:08,  3.90it/s]
Alska is a great place to explore and I think you will be fine.
{'ref strategy': '[Others]', 'hyp strategy': '[Self-disclosure]'}
I am sorry to hear that. I know how you feel.
{'ref strategy': '[Question]', 'hyp strategy': '[Question]'}
I understand that. I' ve been in a similar situation myself and it' s very difficult to move forward with things.
{'ref strategy': '[Question]', 'hyp strategy': '[Providing Suggestions or Information]'}
I' m sorry to hear that. I' ve been in a similar situation before.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Restatement or Paraphrasing]'}
I think that you should be open to talking to her about your feelings and let her know that you are really interested in her and that you want to be with her.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Providing Suggestions or Information]'}
That' s a great idea! I know it' s hard but you can do it!
{'ref strategy': '[Question]', 'hyp strategy': '[Providing Suggestions or Information]'}
I understand, I have been in the same situation and I know how frustrating it can be. I have tried to stay positive and stay positive but I know that it is hard.

Testing:  17%|████████████████████▎                                                                                                 | 396/2295 [01:50<09:30,  3.33it/s]
I' m sorry to hear that. What is going on?
{'ref strategy': '[Question]', 'hyp strategy': '[Question]'}
I understand that. I have been in a similar situation myself. I know how difficult it can be to move forward with a relationship. But I know that you can do it!
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Self-disclosure]'}
I think you are doing the right thing by staying positive and focusing on your own happiness.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I' m sorry to hear that. I' ve been in a similar situation myself. I think it' s a good thing to move on from someone who broke your heart.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Reflection of feelings]'}
I think that would be a great idea. I think that it would be helpful to talk about the problem more, and to have someone to talk to about it with.
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Providing Suggestions or Information]'}
I' m glad I could help. I hope you feel better soon.

Testing:  18%|████████████████████▋                                                                                                 | 402/2295 [01:52<09:07,  3.46it/s]
I am so glad that you are taking the vitamin D. I know it' s hard to get through a scary year, but I know that you will be able to get by.
{'ref strategy': '[Question]', 'hyp strategy': '[Affirmation and Reassurance]'}
I' ve heard of those and I think they are really great! They are free and have a lot of great features.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I see. I think you are on the right path.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I can understand that. I have had to give up my job and move on to something else.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
yes i do, i try to play games on my phone and i find it very calming.
{'ref strategy': '[Others]', 'hyp strategy': '[Providing Suggestions or Information]'}
I have been in a similar situation. I have been on layoff and have been able to get some work back.
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Affirmation and Reassurance]'}
I' ve used it before, but I don' t think it' s worth it.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Self-disclosure]'}
I am a writer. I write short stories for my clients.

Testing:  18%|█████████████████████                                                                                                 | 410/2295 [01:54<07:24,  4.24it/s]
I am sure that you will do great with the switch.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Affirmation and Reassurance]'}
I have a few videos on YouTube that I use to make my own jewelry.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Greeting]'}
I think that you should try to talk to your friends and see if they can help you get through this.
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Providing Suggestions or Information]'}
I can understand how you feel. I have had friends who have been patronised by me since I was a kid. I know how hard it is to make friends who are older than you.
{'ref strategy': '[Question]', 'hyp strategy': '[Reflection of feelings]'}
I can understand that. I have been in a similar situation and I know how hard it is to find a job.
{'ref strategy': '[Question]', 'hyp strategy': '[Self-disclosure]'}
I am glad to hear that, I hope that you are feeling better soon.
{'ref strategy': '[Reflection of feelings]', 'hyp strategy': '[Others]'}
I can understand that. I have been friends for 10 years and I know how hard it is to be sad.

Testing:  18%|█████████████████████▍                                                                                                | 417/2295 [01:56<07:33,  4.14it/s]
I am sorry to hear that. I have been in a similar situation myself. I know how hard it can be to move on from a relationship.
{'ref strategy': '[Question]', 'hyp strategy': '[Reflection of feelings]'}
You too!
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Greeting]'}
I have been in a similar situation myself and I know how hard it can be to find a loan.
{'ref strategy': '[Question]', 'hyp strategy': '[Self-disclosure]'}
I think that it' s important to remember that you are not alone in feeling this way. I think that you can do it, you just have to take care of yourself.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Self-disclosure]'}
I am so sorry to hear that. I am sorry to listen to you.
{'ref strategy': '[Question]', 'hyp strategy': '[Question]'}
You are welcome. I wish you all the best in the future.
{'ref strategy': '[Greeting]', 'hyp strategy': '[Greeting]'}
I can understand how that would be frustrating. What do you think he was doing for fun?
{'ref strategy': '[Reflection of feelings]', 'hyp strategy': '[Question]'}
I am in my mid twenties. I have been in college for over 2 years.

Testing:  19%|█████████████████████▉                                                                                                | 426/2295 [01:58<06:58,  4.47it/s]
I' m sorry to hear that. Breakups are hard to process.
{'ref strategy': '[Others]', 'hyp strategy': '[Reflection of feelings]'}
I can understand how that would upset you. I' ve had similar experiences with my dog before.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Restatement or Paraphrasing]'}
that' s really bad. I know how hard it can be to trust someone.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Reflection of feelings]'}
i' m sorry to hear that. what is going on?
{'ref strategy': '[Question]', 'hyp strategy': '[Restatement or Paraphrasing]'}
bye! you too!
{'ref strategy': '[Greeting]', 'hyp strategy': '[Greeting]'}
Good evening.
{'ref strategy': '[Question]', 'hyp strategy': '[Question]'}
I know it is hard to ask for help when there are so many uncertain circumstances. I know you are doing great!
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Affirmation and Reassurance]'}
I have had to use a zoom before and it was horrible. I had to switch between the zoom and zoom and it took me forever to get used to it.

Testing:  19%|██████████████████████▎                                                                                               | 434/2295 [02:00<07:54,  3.92it/s]
I have also been feeling stressed and anxious about the pandemic. I have tried to take a walk in nature and avoid people who are in the same situation.
{'ref strategy': '[Reflection of feelings]', 'hyp strategy': '[Providing Suggestions or Information]'}
I am glad that I was able to help you. I hope that I have been able to be of some help to you today.
{'ref strategy': '[Greeting]', 'hyp strategy': '[Greeting]'}
I am sorry to hear that. What is the issue you are having?
{'ref strategy': '[Greeting]', 'hyp strategy': '[Question]'}
you are doing your best and you deserve a better job.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Providing Suggestions or Information]'}
bye. bye.
{'ref strategy': '[Question]', 'hyp strategy': '[Greeting]'}
I' m glad to hear that. I hope you have a good rest of your day.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I can understand that. I have been in a similar situation myself. I had to move away from my parents and my family for a while. It was very difficult.
{'ref strategy': '[Question]', 'hyp strategy': '[Affirmation and Reassurance]'}
Ok, so you feel that you' re being put in a very anxious position and you' ve been unable to do anything to help him?

Testing:  19%|██████████████████████▋                                                                                               | 441/2295 [02:02<08:40,  3.56it/s]
I can understand how you feel. I have had to deal with depression myself and it has been very hard for me to cope.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I have been on medication for depression too. I have been in a similar situation. I had to take it for about a year before I was able to get out of it.
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Providing Suggestions or Information]'}
i think that is a great idea.
{'ref strategy': '[Others]', 'hyp strategy': '[Providing Suggestions or Information]'}
I think you should try to focus on yourself and your goals.
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Affirmation and Reassurance]'}
yes, it is a lot of money right now. i think you will be able to get through this!
{'ref strategy': '[Restatement or Paraphrasing]', 'hyp strategy': '[Providing Suggestions or Information]'}
it' s been a really good year for us all. i think we will get through this.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
hello. how are you?

Testing:  20%|███████████████████████                                                                                               | 449/2295 [02:04<08:08,  3.78it/s]
I think that would be a great idea. I think it would be great to have more time to reflect on the work and the challenges that we are facing.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I am sorry to hear that. I have been feeling lonely too. I know it is hard to be lonely but I know you can get through this!
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Restatement or Paraphrasing]'}
I can understand how that would be frustrating. Have you tried talking to her about it?
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Affirmation and Reassurance]'}
I have been in that position before. I was able to get unemployment and disability.
{'ref strategy': '[Question]', 'hyp strategy': '[Affirmation and Reassurance]'}
You too!
{'ref strategy': '[Greeting]', 'hyp strategy': '[Greeting]'}
I can understand how that would be frustrating. I have had to deal with this myself.
{'ref strategy': '[Question]', 'hyp strategy': '[Restatement or Paraphrasing]'}
you are welcome.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Affirmation and Reassurance]'}
I can understand how that would be difficult. I have been in a similar situation myself.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Restatement or Paraphrasing]'}
i am sorry to hear that. i am also stressed about the deadlines and it' s making me feel anxious.

Testing:  20%|███████████████████████▍                                                                                              | 457/2295 [02:06<08:09,  3.76it/s]
I understand that it is hard to get over a feeling like that. I have been in a similar situation and I know how hard it can be to let go of a friendship.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I' m sorry to hear that. I' ve been through a similar situation myself.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Restatement or Paraphrasing]'}
I think it would be good to talk to her about it, but I think you should be careful with it.
{'ref strategy': '[Others]', 'hyp strategy': '[Providing Suggestions or Information]'}
I' m sorry to hear that. What has been going on at work?
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Restatement or Paraphrasing]'}
I' m sorry to hear that. I know it' s hard to be honest with people, but I think you can do it!
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Self-disclosure]'}
I' m sorry to hear that. I' ve been having a hard time with it too. Is there anything specific that you' d like to talk about?

Testing:  20%|███████████████████████▊                                                                                              | 464/2295 [02:08<09:09,  3.33it/s]
I' m sorry to hear that. I' ve been in a similar situation myself. I know it' s hard to finish a semester, but I know you can do it!
{'ref strategy': '[Reflection of feelings]', 'hyp strategy': '[Affirmation and Reassurance]'}
You are welcome. I wish you all the best.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Greeting]'}
i am sorry to hear that. i hope things get better soon.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Others]'}
I think that would be a great idea. I think that you should try to find something that you enjoy doing in order to get your mind off of things.
{'ref strategy': '[Others]', 'hyp strategy': '[Self-disclosure]'}
I know it' s hard to start a new project when you are so overwhelmed. I know it can be hard to find the time to start, but I know you can do it!
{'ref strategy': '[Restatement or Paraphrasing]', 'hyp strategy': '[Providing Suggestions or Information]'}
I think you should press quit and take the survey:)
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Others]'}
I' ve been in that position myself, and I know how hard it can be to get through it. But I also know that there are ways to get out of it.

Testing:  20%|████████████████████████                                                                                              | 469/2295 [02:10<10:27,  2.91it/s]
I understand that. I have been in the same situation myself. I was able to get a job and it was very rewarding. I also found that if I was lucky enough to get one, I would be able to do something else.
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Affirmation and Reassurance]'}
I' m glad to hear that. I hope you feel better soon.
{'ref strategy': '[Question]', 'hyp strategy': '[Others]'}
I am doing well, thank you for asking. Is there anything specific that you' d like to talk about?
{'ref strategy': '[Question]', 'hyp strategy': '[Question]'}
I have been there too. I have found that it helps me to get motivated and get things done.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I think you are very mature and caring. I think you will be fine.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I can relate to that. I have lost a close friend and family member. I tried to talk to them about how I feel.

Testing:  21%|████████████████████████▌                                                                                             | 477/2295 [02:12<06:44,  4.50it/s]
I am sorry to hear that. I am sure you will be fine.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Question]'}
I think that you' re very welcome! I think that it' s great that you are willing to help him financially.
{'ref strategy': '[Question]', 'hyp strategy': '[Providing Suggestions or Information]'}
I' m sorry to hear that. What is causing you to feel this way?
{'ref strategy': '[Question]', 'hyp strategy': '[Question]'}
Hello, how are you doing today?
{'ref strategy': '[Others]', 'hyp strategy': '[Question]'}
I' m sorry to hear that. I know it' s tough but I think you can do it.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Providing Suggestions or Information]'}
I am doing well. How are you?
{'ref strategy': '[Question]', 'hyp strategy': '[Question]'}
I have found that when I drink, I lose my mind and my body becomes foggy. I find that if I drink too much, I can lose my brain.
{'ref strategy': '[Question]', 'hyp strategy': '[Providing Suggestions or Information]'}
I' m sorry to hear that. I' ve been in this situation before.

Testing:  21%|████████████████████████▉                                                                                             | 485/2295 [02:14<07:26,  4.05it/s]
I can understand how you are feeling. I have had to deal with my son being angry and upset and i know how hard it is to deal.
{'ref strategy': '[Question]', 'hyp strategy': '[Providing Suggestions or Information]'}
I can tell you are really upset about it. I think it is really hard to get over someone.
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Self-disclosure]'}
I understand that you are feeling very upset about this. Have you tried talking to your parents about the situation?
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Providing Suggestions or Information]'}
I' m glad to help. Have a good day.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Greeting]'}
I can understand how that would be stressful. I have also found that wearing a mask helps to keep my body cool and prevent breathing problems.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Affirmation and Reassurance]'}
I can understand how that would be frustrating. I have had to deal with a lot of conflict in my life, and I know how difficult it can be to not be able to see the positive side of things.

Testing:  21%|█████████████████████████▏                                                                                            | 491/2295 [02:16<08:24,  3.57it/s]
I can understand how you feel. I have been in a similar situation myself. I know how hard it can be to move on from a relationship. I am sure that you will find a way to move forward with your life.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Self-disclosure]'}
I' m sorry to hear that. What is going on?
{'ref strategy': '[Question]', 'hyp strategy': '[Question]'}
I understand how you feel. I lost my job and have been struggling to find a new one.
{'ref strategy': '[Affirmation and Reassurance]', 'hyp strategy': '[Restatement or Paraphrasing]'}
I am sorry to hear that. What is going on in your area?
{'ref strategy': '[Question]', 'hyp strategy': '[Affirmation and Reassurance]'}
I think that would be a great idea.
{'ref strategy': '[Others]', 'hyp strategy': '[Providing Suggestions or Information]'}
I think that' s a great idea. Breakups are great for your mental health.
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Providing Suggestions or Information]'}
I' m glad you' re feeling better now. I hope you have a great rest of your day.
{'ref strategy': '[Question]', 'hyp strategy': '[Providing Suggestions or Information]'}
Hello, how are you doing today?
{'ref strategy': '[Greeting]', 'hyp strategy': '[Question]'}
I am sorry to hear that. I have been in the same situation.

Testing:  22%|█████████████████████████▋                                                                                            | 499/2295 [02:18<08:29,  3.52it/s]
I have done that myself. I also tried to eat healthy and exercise regularly. I found that it helped me a lot.
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Self-disclosure]'}
I understand how you feel. I' ve had to deal with people who don' t respect my wishes. I know it' s hard but I know you can do it.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Reflection of feelings]'}
I think you should tell her that you are sorry and that you did not mean to hurt her.
{'ref strategy': '[Providing Suggestions or Information]', 'hyp strategy': '[Greeting]'}
You' re welcome! I hope you have a great rest of your holiday season!
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Greeting]'}
I think that' s a good idea. It' s hard to know what to do when things are going on, but it' s important to be able to find something to focus on.
{'ref strategy': '[Self-disclosure]', 'hyp strategy': '[Providing Suggestions or Information]'}
I' ve been to a lot of virtual music events. I really like the sound of the speakers and the music. It' s a great way to get your mind off of things.

