,reward_a,turn_a,response_a,reward_b,turn_b,response_b
690,4.001673221588135,11,I understand. Have you tried to get a job as a school driver?,4.079357147216797,11,I understand. I have had to do that before.
691,4.652245998382568,50,i can understand that. i have had to deal with the same thing and i can understand how you feel,4.678051948547363,50,"yes i do, i have a lot of hobbies and i like to play games"
693,4.825567245483398,45,i know its hard but i think you can do it,4.821762561798096,45,i have been in that situation and i know how difficult it can be to find people to help out.
694,4.3848700523376465,16,"I understand, you are having a hard time.",4.496441841125488,16,"I understand, you are feeling sad and depressed."
696,4.181581497192383,9,I can understand that. I have been in a similar situation myself and I have had to learn to cope with the stress of exams.,4.350943565368652,9,I think that you are a very intelligent person and I think that it is important that you do not feel that you have failed your exams. Have you considered taking a course in your spare time?
697,4.785941123962402,30,I'm sorry to hear that. Have a good night!,4.762465953826904,30,I think you will do great!
698,4.266885757446289,9,I can tell that you are really upset about it. Do you think he is considering moving in with you?,4.202786445617676,9,"oh no, that's not good."
699,4.472245216369629,11,"I can see that you are feeling depressed, but I think you can do it!",4.345520496368408,11,"I have tried many different things, but i found that the best thing to do is to keep trying and keep trying."
700,4.48665189743042,4,"I think you should be able to tell him that you love him and that you want to be with him, but that he is not the one who wants you",4.4648566246032715,4,I think you should just take it one day at a time and let him know how you feel.
701,4.724584579467773,26,i love science fiction. i think that the chemical garden trilogy is my favorite. i enjoy historical non fiction very much. do you have any favorite authors?,4.720469951629639,26,i'm a fan of the chemical garden trilogy. i have been reading it as well. it's a very interesting series.
702,4.520557403564453,12,"I'm sorry to hear that. Tinder is a great way to connect with people. I've been on it for about 10 years, but I still have a lot of feelings.",4.4619340896606445,12,That's a long time to be single. It's not like you're going to be able to make friends.
703,4.723006248474121,24,I am glad to hear that.. I have been in a similar situation. Do you have any friends or family that you can talk to?,4.788240432739258,24,I am glad to hear that.. you are on a 10 week detox intensive plan. Would you mind sharing what you are feeling with me?
704,4.436723709106445,18,I'm sorry to hear that. I've been in a similar situation recently and I can tell you are really stressed about it.,4.554412364959717,18,I'm sorry to hear that. It sounds like you are feeling a bit betrayed by your boss. Do you think that's true?
707,4.689782619476318,18,"wow, that is a big deal. i know a few of the higher ups from the area churches, and a handful of families. i trust you will get it",4.72062349319458,18,"wow, that is a big deal. i think you will get it"
708,4.599936485290527,15,"I am a single parent, I have 2 kids and i have a house full of pets",4.601955413818359,15,"I am a single parent with 2 kids, I can understand that."
709,4.58440637588501,37,I am sorry to hear that. Do you have any family members or friends you can talk to?,4.578052997589111,37,I understand that. Have you tried talking to your doctor about this?
710,4.867702484130859,25,I have a dog too. I have two cats and they are really good companions. I like to play with them.,4.8504204750061035,25,I have a dog too. I have a cat and he is my best friend.
711,4.67194938659668,32,I think you should seek professional help. I think you are doing the right thing.,4.6806488037109375,32,I think you should try to talk to a lawyer. I know it is hard but I think you can do it.
712,4.497939586639404,12,I can tell that you are feeling a bit depressed about this situation.,4.508878707885742,12,I can tell that you are very upset about this.
713,4.351316928863525,7,I'm sorry to hear that. What's going on?,4.362048625946045,7,I'm sorry to hear that. What is going on?
715,4.7269606590271,28,I understand that. I have been in a similar situation myself. Do you have any friends or family who can help you with your studies?,4.717685222625732,28,I understand. I have also struggled with my studies. Have you tried talking to your professor about it?
716,4.6376848220825195,24,You are very welcome. I hope you have a great day!,4.480488300323486,24,you are very welcome.
717,4.734701633453369,21,I am sorry to hear that. Do you have any friends or family who can help you?,4.733968734741211,21,I think that is a very bad idea. I think that you should try to talk to the school about it.
718,4.7330322265625,19,"I understand that, I think that it would be a good idea to plan a date night and have him see that you are both happy and that you guys are going to be able to make it work",4.697046756744385,19,"I understand that, but I think that if you can make a plan and plan a date night, he will at least consider it don't you think?"
719,4.503684043884277,35,I understand that. I have been in a similar situation and I know how difficult it can be to move on from a relationship. Do you have any friends or family that you can talk to?,4.531928062438965,35,I understand that. Do you feel that you can move on from her?
720,4.425139427185059,22,"That's great, I think you're doing the right thing.",4.45330810546875,22,You're welcome. I hope you have a good day.
721,4.711533069610596,17,"I understand how difficult this can be. I have been in a similar situation myself. I've found that when I am feeling down, I can't focus on the things that are bothering me.",4.759950160980225,17,I think it is really important to remember that you are not worth anyone's time. Do you think that this is something that you can try to talk about with them?
722,4.6439900398254395,7,i see. i can understand how that can be hard. have you tried talking to your friends about it?,4.627197265625,7,i see. have you tried to talk to your doctor about this?
723,4.862583637237549,33,"I am a mom too, I have 2 kids and a master's degree. I am sure you will be able to handle things better",4.856316089630127,33,"I have a master's degree in psychology, i have a degree in Psychology. I have been doing that for years and it has helped me"
724,4.343474864959717,4,it is so beautiful. i have been in that situation before.,4.4470038414001465,4,"i have been in a similar situation, but i know how much it is worth it."
725,4.595344066619873,20,"I understand how you feel. I have had similar issues with my partner. It was a very difficult conversation to have, but I think you should be able to talk to him about it.",4.451833724975586,20,I understand how you feel. I've been in a similar situation where I had to break down and talk to my partner about it. It's not easy to talk to someone when they are a 9.
726,4.2871479988098145,28,I understand. It seems like you are worried about the unknown. Have you tried to talk to your co-workers about this?,4.450657367706299,28,I understand. I have been in that situation myself. I can relate to the anxiety you are experiencing.
727,4.642642021179199,5,I am glad you are feeling better!,4.636016845703125,5,lol I am glad to hear that!
728,4.613154411315918,15,"I'm doing well, thanks. Is there anything bothering you?",4.63019323348999,15,"I'm doing well, thanks. Is there anything you'd like to talk about?"
729,4.706690788269043,23,"I think you should try to keep your head up, and don't let her break your heart.",4.641811847686768,23,"I think you should try to keep your head up, you don't want to be blamed for something that happened."
730,4.487850666046143,24,You too:),4.494988918304443,24,bye:)
731,4.413597106933594,6,I have had a lot of bad dreams too. I have been in them myself and they have been very common.,4.463058948516846,6,I think that it is important to remember that you are not alone in this.
732,4.674412727355957,16,i understand that. you are feeling like you are not going to be able to spend time with your friends. do you think that is the right thing to do?,4.657840251922607,16,i can understand that. What do you do when you feel sad?
733,4.616743564605713,9,you are very welcome. I hope you have a wonderful rest of your day.,4.525728702545166,9,I think you are mature enough to be able to handle this situation. I think you will do the same.
734,4.844000816345215,28,I think that would be a great idea.,4.867379188537598,28,That sounds like a great idea. I think that you should be able to talk to her about your feelings and then maybe you can try to talk about them in a more open way.
735,4.541592597961426,24,Try to focus on your studies,4.632059574127197,24,"You can do it, just try to be positive"
736,4.356684684753418,50,I can understand that. I have had problems with depression myself too. Have you tried talking to a therapist?,4.4596076011657715,50,"I understand that. I have had to take anti depressants for a long time, but I think it is the best way to get through this."
737,4.436635494232178,2,I understand that. I have been feeling stressed and nervous about the holidays too. Do you have any family or friends you can talk to?,4.3838419914245605,2,I understand that. I have been feeling stressed about the holidays too. Do you have any family or friends you can talk to?
738,4.549709796905518,23,I'm sorry to hear that. It's hard to feel like you're worthless when you're so young.,4.453633785247803,23,I understand that. I've been in a similar situation myself. I was married for almost 30 years and divorced for almost 20 years. I had to move on and find someone else.
739,4.765670299530029,30,"that is great, it is also good that you are online",4.764851093292236,30,"that is great, i know it is tough right now but i think it will get better"
740,4.685771942138672,17,I understand. I have had to deal with a loss and it is difficult to move on. Do you have any friends or family who can help you?,4.644049644470215,17,I understand. My aunt passed away a couple weeks ago and I was feeling sad too.
742,4.506140232086182,24,That is a totally normal aspect of human nature. It's normal to get bored of things even if we really liked them at some point. Do you have any friends or family that you can talk to about this?,4.553544044494629,24,I can understand that. I have also struggled with this. Have you considered getting a degree in something that is not really your interest?
744,4.552848815917969,10,"I think that would be a great idea, because you guys are both very close and have been doing a lot of things together for a long time, so it's easy to get over it",4.613860130310059,10,"I think that would be a great idea, because it would help you both feel more comfortable with each other."
745,4.543507099151611,6,ok I will do that,4.499673366546631,6,"yes, i think you can do it"
746,4.679062366485596,32,"I understand, I have been in a similar situation and it has been really hard to get over it.",4.737585544586182,32,I can understand that. I have been in a similar situation and I understand how you feel.
747,4.496530055999756,4,I understand how you feel. I have been in a similar situation and it can be very difficult to get out and walk. Have you tried taking a walk or hike?,4.6033854484558105,4,"I understand how you feel. I have also struggled with anxiety and depression. It can be difficult to get out of bed at night, but it can help to take a walk or hike."
748,4.6340718269348145,15,"I understand. I have been in this situation myself. It's been a rough year. I know it's hard to get out of bed, but I know that it will get better.",4.56419563293457,15,I think that's a good thing. It's hard to get out of bed when you are feeling so depressed. Have you tried talking to your friends about it?
749,4.775174140930176,47,I think that's a very scary thing to worry about.,4.676959037780762,47,I can understand that. I have been in the same situation.
750,4.6701507568359375,29,I see. I have been in a similar situation and I can understand how difficult it is to make friends like that. Do you think that perhaps she has not been understanding of your situation?,4.660234451293945,29,I see. I have been in a similar situation and I know how difficult it can be to talk to someone who does not trust you.
751,4.603592872619629,16,I am 25. I have had a similar situation happen to me. It was very difficult but I know you can get through it.,4.532589435577393,16,I am 25. I have had relationships happen to me before. I had to break up with my girlfriend. I was 25 at the time.
753,4.581969261169434,16,"I understand, it can be hard to stay safe when you are in another state.",4.622317790985107,16,"i can tell you are stressed about it, but I think you should be more careful about your behavior."
755,4.685948848724365,23,"I think it's a good idea to try to keep your head up. I've been in relationships where I've broken up with people, but I never know what the future holds.",4.624670505523682,23,I can understand why that would be a difficult situation.
756,4.658853054046631,6,I can assure you that you will get the necessary help.,4.680029392242432,6,I can assure you that you will find a way to live normally. I know it is hard but I believe you will get through this.
757,4.467247009277344,17,"I can understand that. I've been in a similar situation, and it's difficult to make friends in the current pandemic.",4.46409273147583,17,I understand. I've been in a similar situation. I have been in college and it was difficult to make friends.
759,4.452036380767822,10,I'm sorry to hear that. Do you have any friends who could help you?,4.356778621673584,10,I think that it's really difficult to find a job when you are so busy with your children.
760,4.212280750274658,3,I'm sorry to hear that. What is going on?,4.220983982086182,3,I'm sorry to hear that. Is there anything specific going on that is bothering you?
761,4.5862202644348145,11,i can understand how that feels. have you tried to talk to her about it?,4.537844181060791,11,i am sorry to hear that. did you have any contact with her before the lockdown?
762,4.1291022300720215,3,I understand that. I lost my job a few years ago. I can understand how that would be stressful.,4.024363040924072,3,I understand that. I lost my job a few years ago and it was a very difficult time for me.
763,4.685489654541016,50,I think that is a good place to start.,4.685326099395752,50,I understand that. I have had a similar situation with my partner. It was a very difficult time for me.
764,4.777564525604248,15,"I think it would be helpful to talk to her about it, and try to avoid talking about it with her.",4.77754020690918,15,"I think it would be best to talk to her about it, but I think it might help to talk with her about what happened."
765,4.572993755340576,21,I think you should:),4.565659046173096,21,I think you can do it!
767,4.649685859680176,18,I can understand how that would be a difficult situation. I went through a similar situation when a pink-eye breakout hurt my school.,4.676865100860596,18,I understand how you feel. I went through a similar situation when a pink-eye breakout hurt my school.
768,4.3583807945251465,31,I can understand how that would be upsetting. Do you have any friends that you could talk to about this?,4.360660552978516,31,I understand. It can be very hard to see someone who is not your friend who is being toxic. Have you talked to a doctor about this?
769,4.69174861907959,24,I can understand how you feel. I have been in that position before and it is hard to get back to work.,4.71912145614624,24,I understand. I was also hurt at work during the pandemic. How long have you been working?
770,4.505906105041504,14,I understand. I have been in a similar situation and I found out that there are many resources online that can help me.,4.464935302734375,14,I know that there are many online resources that can help you find a job.
771,4.827460289001465,26,"I can understand that. I have also struggled with this, and it is very difficult to make a decision about what to pursue. Do you have any friends or family that you can talk to about this?",4.823413372039795,26,"It sounds like you are feeling anxious about your future, which is understandable. Are you worried that you will lose interest in things that you really like?"
772,4.714488983154297,22,"I think that is a good idea. You can try to make a list of things you want him to do, and then put it in a list.",4.761703014373779,22,"I think that is a good place to start. I know that it's hard to let go of expectations, but I think you can do it!"
773,4.751687526702881,28,I am sorry to hear that. Do you think that it is possible for him to change?,4.659709453582764,28,I am sorry to hear that. I have been in a toxic relationship before and I have found that it is very difficult to move on from them.
774,4.348421573638916,17,I think that you should try to find a hobby that you enjoy and that you have a lot of hobbies that you can enjoy.,4.30774450302124,17,"I think that would be a great hobby to start. I have found that if you have a hobby, you can find a new one."
775,4.619817733764648,21,I understand. I've been in the same situation. What do you think is making you feel this way?,4.610124111175537,21,I see. So you are feeling like you are being lazy?
776,4.5812811851501465,16,I am sorry to hear that. Do you think that it might be worth trying to talk to someone about it?,4.583966255187988,16,I think that you should be able to find someone who is more like a friend. Maybe a family member?
777,4.368988513946533,7,I am sorry to hear that. Do you have any friends or family that you can talk to?,4.36169958114624,7,I think you should try to talk to your school about it.
779,4.3878302574157715,5,I understand. I have been in a similar situation. What do you think is the reason?,4.228171348571777,5,I see. So you are not able to find a job for 5 years?
780,4.553117752075195,10,I understand that. Have you tried looking online?,4.5005269050598145,10,I see. So you are trying to find a job that is outside of your normal hours?
781,4.418787479400635,7,"I'm sorry to hear that. I've been in a similar situation, and I know how hard it can be to break up.",4.411124229431152,7,I'm sorry to hear that. Do you think she was just trying to make you feel better?
782,4.75884485244751,28,You're welcome! I hope you feel better.,4.772000789642334,28,I hope you feel better. I wish you all the best!
783,4.746334552764893,26,I think you should focus on the job at hand first.,4.730791091918945,26,I suggest looking for a job that pays well.
784,4.618276596069336,27,I can understand that. I have been in a similar situation and it is not easy to get laid off.,4.567028045654297,27,"I understand, I have been in a similar situation. I was in a situation where my supervisor made a comment that I did not know what he meant."
785,4.786581039428711,38,I understand. I have been in a similar situation. It can be hard to find someone to love and not forget.,4.776574611663818,38,I understand how you feel. I have been in a similar situation and I know how hard it can be to get over a relationship.
786,4.281601428985596,14,I live in a small apartment so I don't have a lot of room to work from.,4.3002705574035645,14,I live in a small apartment. I don't have a tv but I have a laptop and a laptop. So I can't see the class from my room.
787,4.471306324005127,11,I can understand that. I have been in a relationship with someone who has been distant and not understanding.,4.463722229003906,11,It sounds like you are not a trustworthy person. Do you think that he is still seeing someone else?
788,4.346700668334961,13,I think it is time to grow up and have a normal life. I think that is the right way to live.,4.453578472137451,13,I think you are very mature and mature for this situation. I would definitely recommend seeking help sooner rather than later.
789,4.5577392578125,25,I understand that it is very difficult right now. Have you tried looking online?,4.562464237213135,25,I understand that. I have been in a similar situation and I have found that there are a lot of places that are hiring but not really offering anything.
791,4.768276214599609,21,"I think that you are doing the right thing. I know it is hard to get through a day, but I think you can do it!",4.759624481201172,21,I think that you are doing the right thing. I think that your wife is doing a great job of taking care of you and your needs.
792,4.547576427459717,16,I think that you are both relatively young. I feel that there is plenty to learn about each other.,4.572083950042725,16,I think that it is important to keep in touch with your friends.
793,4.622166156768799,20,I understand that. I have been in a similar situation and I understand the pressure of having to meet in person. I also understand the stress of having a single channel of communication.,4.620724201202393,20,I think limiting meeting times can help the team focus on issues that may not be relevant 100 percent.
794,4.474334716796875,12,I have been in that position myself. I've found that it is a good place to start looking for a new job.,4.570948600769043,12,I have been in that position. I have found that it is a great opportunity to explore new fields.
795,4.764649868011475,13,I am sorry to hear that. Do you have any friends or family that you can talk to?,4.715913772583008,13,I understand. I have been in the same situation myself. Have you tried any online courses?
797,4.726315498352051,31,I have a hamster and he is at school with me so I understand how anxious you are about it. I've also had to deal with the same situation myself. I'm not sure if I can make it through it but I think it's important to be able to talk to people who are close to you and know you're not alone.,4.741163730621338,31,I understand. I've had to go through the same thing myself. I'm a student and also live at home. So I understand how you feel.
798,4.194408893585205,7,I can understand how that would be difficult. have you tried to find a job that would pay you more?,4.181769847869873,7,i can understand how that would be difficult. I have been in the same situation myself.
799,4.703754901885986,9,I think you are doing the right thing.,4.656745910644531,9,It is about making small adjustments to feed a good habit.
800,4.522327423095703,21,I think that it is a very strange situation and I think that you are doing the right thing.,4.4703826904296875,21,I think that it is a very strange situation. I have been in one of those situations myself and I know how difficult it can be to get over it.
801,4.809177398681641,22,I think that's a great idea.,4.808835506439209,22,"I think that's a great idea. You could try to schedule some time off for yourself, and then try to spend time with your family."
802,4.636176586151123,36,I understand that you are going through a tough time and I know how hard it is to deal with this,4.709115982055664,36,I understand that. I would not let that stress you out or be upset about it because you do not need anybody that don't support your career path
803,4.772103786468506,17,I think you should try to do both.,4.7572922706604,17,I have done both online and in person.
804,4.616560459136963,10,i'm sure you can find someone who is more open to you. maybe you could try talking to a friend about it?,4.5789995193481445,10,you should try to talk to your friend about it. that might help you get closure.
805,4.727455139160156,24,I think that you are doing a great job!,4.624542236328125,24,I understand. Have you tried looking into other options?
806,4.587926864624023,23,I think that it is a really unfair thing to do. Have you considered looking into getting free - or low cost at least - advice about making a formal complaint?,4.512645244598389,23,I think that is a really unfair way to make a complaint. Have you tried talking to your boss about it?
807,4.681552886962891,15,well i think you should tell them that you are not a trader and that you do not want to hurt them.,4.681427478790283,15,"yes i am trading time, but i think you should be able to tell them that you are not making much money."
809,4.661602020263672,40,"That's a really tough situation to be in, I know how difficult it can be. Have you tried talking to your professors about how you are feeling?",4.611953258514404,40,"I can understand that, I have been in that situation myself. I've had to sit through a lot of tests and I found that it was really hard to keep up with the demands of the exams."
810,4.659356117248535,34,I see. So you are thinking about how you feel about the way that people treat you?,4.661742687225342,34,I see. So you are thinking about how you feel about the way you are treating people?
811,4.50872802734375,50,"I see, you are not alone in feeling this way, but i think you should try to tell him that you are hurtful and that you do not want to hurt his feelings.",4.456112861633301,50,I think that you should try to explain to him that you are not friends and that he is not the one who is treating you badly and that you have been hurt by his actions.
812,4.678898811340332,17,"I'm sorry to hear that. Breakups can be hard, especially when you're going through them.",4.684652805328369,17,"I'm sorry to hear that. Breakups can be very hard, especially when you're going through them."
813,4.170010089874268,31,i see. so you are worried about them and not your boyfriend?,4.0992608070373535,31,i hear you. have you talked to them about it?
814,4.548313617706299,9,"I think that is a good idea. I think that if you talk to him, he will be receptive.",4.430068492889404,9,That's good. I think you should try to be the bigger person.
815,4.624325752258301,5,I think you should try to talk to him about it and see if he will change his behavior.,4.620392322540283,5,I am sure he will grow quickly.
816,4.6244988441467285,17,I think that it would be a good idea to try to find things that he has in common or energize the relationship.,4.635374546051025,17,I think that you can find things that he has in common or energize the relationship.
817,4.429671287536621,8,"I understand, but do not feel bad about yourself. Did you receive the order from your customer?",4.351293563842773,8,"I understand, I have been in that situation. I had to go to a different place and get food from a different company. They were not very accommodating."
818,4.627665042877197,29,you are not alone. i know how hard it can be to feel that way. i've been through a lot of ups and downs. i'm sorry you have to go through this.,4.648985862731934,29,you're so right. i feel that you have been dumped and it's time to move on
819,4.271354675292969,50,I see. So you are not sure what to do about it?,4.45773983001709,50,"I can see that being frustrating, if you can't keep them neat, if they can't kept them neat."
820,4.849675178527832,21,I understand that. It is a challenging time for everyone. I think it is important to be able to communicate with others in a meaningful way. Is there anything else you can do to help you feel more comfortable?,4.850576400756836,21,I understand that. I also have to provide technical services in person. I have found that providing technical services is a great way to connect with others. Is there anything else you can do to help you communicate with others?
823,4.314359664916992,25,I have been evicted before. I was evicted for a few years and it was never my fault. I had to recoup my income.,4.3543806076049805,25,"I have been evicted before, but I was in a similar situation. I was evicted from my home due to Covid 19. I had to leave my job because of Covid. I did not know what to do, but i was able to get a temporary job and it was a temporary one."
824,4.547634124755859,22,I can understand how that would be stressful. I have been in the same situation and I know how stressful it can be.,4.4746012687683105,22,I can understand how that would be stressful. I have been in the same situation myself and it is very difficult to keep up with the competition.
826,4.3999924659729,30,I see. It sounds like you are feeling ashamed of yourself. Is that correct?,4.454975605010986,30,I can understand how that would be frustrating. Do you have any hobbies or interests that you can use to take care of yourself?
827,4.8253173828125,42,I'm sorry to hear that. I'm sorry you are embarrassed about your curly hair. Do you have any hobbies that you enjoy?,4.788235664367676,42,I see. I'm sorry to hear that. Have you tried talking to your hair therapist about it?
829,4.299779891967773,6,I'm from North Carolina. What state are you from?,4.312576770782471,6,I'm from North Carolina.
830,4.644845008850098,18,I think that would be a great idea.,4.6759209632873535,18,I think that would be a great idea. You could also try to find a way to spend time with your family and away from this work pressure.
831,4.590986728668213,4,"I think that's a good idea. It sounds like you are working hard to make money, and I'm sure you will make it.",4.594605445861816,4,"I think that's a good idea. It's easy to use, and you can use it as a way to pay off your debts."
833,4.827469348907471,21,I have also had trouble sleeping. I try to follow a specific schedule and it helps me a lot.,4.817848205566406,21,I understand that you are having trouble sleeping. I think you should try to take some time to relax and try to sleep.
834,4.671662330627441,28,I'm sorry to hear that. It's not like you're going to have any other friends. Do you think it might be worth trying to talk to her?,4.640820503234863,28,I'm sorry to hear that. I've been in that situation before. It's not like you're friends and you don't want to be friends. Do you think that might be a problem?
835,4.65537691116333,40,I understand that you are having issues with your wife due to your drinking. Do you have any family members or friends that you can talk to about this?,4.689302921295166,40,I am sorry to hear that. Do you have any family members or friends that you can talk to about this?
837,4.570247173309326,17,I understand. What type of things was she texting him about?,4.619933605194092,17,I understand that. I have had a similar situation happen to me.
838,4.558880805969238,8,"I understand that. I have been in a similar situation, and I can tell you are frustrated that other people are not accomplishing something, but you are not.",4.569538593292236,8,"I understand that. I have been in a similar situation, and I can tell you are frustrated that other people are not accomplishing something, you are not able to do it well."
839,4.626318454742432,10,I understand. I was in my mid thirties and it was cancelled.,4.687714576721191,10,I understand. I had a scholarship but it got cancelled when my grades dropped a bit.
840,4.455074310302734,6,I think you should tell them that you are not going to be bullied and that you don't want to be treated like that.,4.515542030334473,6,"I understand, I have been in that situation too. I think you should try to talk to them and explain why you are feeling insecure."
841,4.769252300262451,30,I think you are very mature and have a good heart.,4.748517990112305,30,I think you should tell her that you do not think she would do that.
842,4.249607563018799,13,"Ah, I see. It sounds like you're trying to make things easier for them.",4.270810127258301,13,I think it would be a good idea to talk to them about how you feel.
843,4.397451400756836,6,"I have tried glassdoor before, it was a bit of a struggle but I think you can do it",4.428468227386475,6,"I have tried glassdoor before, it was a bit of a challenge but I think you can do it"
844,4.723447799682617,25,i can see that it was very stressing for you. did he have any contact with your family?,4.763747692108154,25,i can see that it was very stressing for you
845,4.576539993286133,10,I also write and can get paid also,4.5560383796691895,10,That is a good idea. You can submit to a forum called Medium
846,4.564547538757324,4,I'm sorry to hear that. What happened?,4.610439777374268,4,I'm sorry to hear that. I can understand why you feel that way.
847,4.423318386077881,3,I am sure if it was a major problem when you brought it up one of them would have spoken up and said that they were not helping you.,4.595053672790527,3,I am sure that they are feeling the same but i would try not to worry to much over that and focus more on finding a job.
849,4.734175205230713,18,I see.. do you have any hobbies that you enjoy?,4.744921684265137,18,I understand. Have you tried playing video games?
852,4.667652606964111,16,I'm sorry to hear that. Can you tell me more about it?,4.642902851104736,16,I'm sorry to hear that. Is there anything specific that you'd like to talk about?
856,4.638842582702637,13,"Yeah, i like to go for a hike too. It helps me to get out and have a good day.",4.466189861297607,13,You are welcome.
857,4.632306098937988,19,It is a very important issue. Are you able to get legalised?,4.6691999435424805,19,I am glad that you are able to buy it legally. I think it is a big deal in the US. Are you worried about your health?
858,4.401124954223633,35,you are going to have to deal with this. you will be okay.,4.4175190925598145,35,i think that is a good thing. i think you should take it one day at a time and then try to find a new normal
859,4.727728366851807,20,I'm sorry to hear that. I know how you feel.,4.6410393714904785,20,I'm sorry to hear that. Why did he break up with you?
860,4.593889236450195,36,I have been in that position. I am in my mid to late twenties. I understand your dilemma. Do you want to study a certain field?,4.637042045593262,36,I understand. I have been in a similar situation.
861,4.605295658111572,28,i'm sorry to hear that. How long have you been trying to make money on MTurk?,4.654356002807617,28,oh no i'm sorry you are feeling that way. how can i help you?
863,4.363691329956055,24,I'm from Alaska and Arizona. I have been there too. I've been in both places but I've never been. I'm in the US but I have never been to either.,4.5214409828186035,24,"Alas, I am not sure where you live but I know that it is a bit of a different world and I think you will find that it has been a pleasure talking to you."
864,4.487301826477051,19,I have also struggled with weight loss. I have tried a lot of different methods.,4.566380023956299,19,I would suggest a local gym or a nutritionist. They might be able to help you with that.
865,4.454893112182617,3,"I've been in that situation myself, and I can tell that it's really hard to deal with.",4.549822807312012,3,"I've also struggled with depression, and I can tell you are feeling very anxious."
866,4.7540483474731445,29,I think that you should just take some time apart and let things decompress for a long while.,4.736856460571289,29,I think that it would be best to just take a few days apart and let things decompress for a long while.
867,4.293989658355713,4,I understand how anxious you are right now. Do you have any friends or family that you can talk to about this?,4.2615251541137695,4,I understand how anxious you are right now. Have you tried talking to your boss about this?
868,4.392759323120117,16,I think you should take it.,4.3443098068237305,16,I would suggest looking for a part time job that would pay less than what you are currently earning.
869,4.9301838874816895,34,I understand your dilemma. I have been in the same situation and I know how difficult it can be to do something.,4.904675483703613,34,I understand. Do you feel like you have done better than your peers?
872,4.26394510269165,3,"I can understand that. I have a degree in economics, economics, and economics.",4.371795177459717,3,"I can understand that. I have a degree in economics, economics, and finance. I can understand how you feel."
873,4.544252395629883,3,I think that you should try to talk to your doctor about it. It might be worth a try.,4.478379249572754,3,I think that you should not feel that you are being treated badly. I think that it is a very difficult situation to be in.
875,4.700647354125977,25,"I think it is a good thing that we are in the UK. It is a very difficult time to be in the US, but I think it will be better in the future.",4.604287624359131,25,I am in the UK too. I have been in the US for a while and it has been very difficult to get around.
877,4.462440013885498,28,"I think that's a good idea. I've been in a similar situation where I've gotten frustrated with the way I've done things, and it's been really hard to keep up with all of the changes.",4.515731334686279,28,"I think painting and drawing are great, but I think you can do both too."
878,4.388502597808838,6,I see. So you are not getting enough income to make ends meet?,4.376631259918213,6,I see. So you are looking for a job that will pay you well?
879,4.652332305908203,18,"I understand how you feel, I have been in a similar situation and I know how difficult it can be to move on to the next step of your relationship and this is making you anxious and upset,",4.6558518409729,18,"I understand how you feel, but I think that you should be able to move on to the next step of your relationship and this is making you anxious and upset,"
880,4.388967514038086,7,"Well, I think that is a good thing. You can get out of the house and meet new people.",4.351332187652588,7,"Well, it sounds like you are feeling a bit lonely. Do you have any friends you can talk to?"
881,4.863755226135254,38,I think you should try to talk to her and let her know how you feel.,4.8431196212768555,38,I think that would be a good idea.
883,4.5470757484436035,19,"I understand that. I have a similar situation, and I know how difficult it can be to get things done when you're stressed about something like that.",4.437801837921143,19,"I can understand that. I've been in a similar situation, and it's been very difficult to find the time to get things done."
884,4.639334201812744,9,"I'm glad that you're feeling better. I know it's hard to remember things that we didn't know, but that we will come out on the other side. Is there anything else that you'd like to talk about?",4.682445049285889,9,"I think that's a good idea. I know it's hard to be happy when we're all in this together, but I think that we can do it!"
885,4.57234001159668,45,"just remember, yesterday is gone. you better keep your distance from that particular person.",4.62346076965332,45,i can understand that. you should keep your distance from him.
886,4.199897289276123,11,I am sorry to hear that. What are some of the things you are experiencing?,4.214080810546875,11,I am sorry to hear that. What is the cause of your mental health?
889,4.427273750305176,14,I understand how you feel. I have been in a similar situation and I know how difficult it can be to end a relationship.,4.359499454498291,14,I understand how you feel. I have been in a similar situation myself.
890,4.846006393432617,38,I hope you can get yours cut soon too.,4.843635082244873,38,you're welcome.
891,4.474526882171631,8,Im sorry that this has been stressful for you. Do you think she is a good person for you to talk to?,4.4728593826293945,8,Im sorry that this has been stressful for you. I have had exes do that to me. Most likely she was cheating on you and this was the reason for her motives.
894,4.553046226501465,9,"yes, it is for women.",4.537168502807617,9,"yes, i have tried yoga but i did not find it helpful"
895,4.473405361175537,12,"I understand how difficult it is to get out of jail for 3 years, but i'm sure you deserve a better job and pay",4.485099792480469,12,"i can understand how frustrating that is, but i think you deserve a better job"
897,4.7038421630859375,19,I am sure you will find something suitable if you keep trying. Do you have any friends or family you can talk to?,4.694471836090088,19,I can see that you are a bit apprehensive about it. Have you considered looking into other options?
898,4.601605415344238,16,I understand. I have been in a similar situation. I had a boyfriend and he cheated on me with another girl and I was uncomfortable with him. I know it is difficult to accept that.,4.703388214111328,16,I think you should try to talk to your friends and family about it.
899,4.643136978149414,10,"Oh, that is a terrible thing to lose.",4.652748107910156,10,I am sorry to hear that. What happened?
900,4.543008804321289,26,I understand. It sounds like you are feeling lonely. Is that correct?,4.479091644287109,26,I'm sorry to hear that. It sounds like you are feeling down about the season.
901,4.656671047210693,30,"I see, I understand. I have been in the same situation as you. I can tell that this has been a very difficult time for you.",4.709057331085205,30,I understand. I have been in the same situation and i know how hard it can be.
